"Sygnatura czasowa","Płeć","Wiek","Bierzemy pod uwagę liczbę kobiet. Która grupa jest druga co do liczności?","Bierzemy pod uwagę liczbę kobiet. Która grupa jest druga co do liczności?","Która grupa jest szósta (6) co do liczności?","Która grupa jest szósta (6) co do liczności?","Kiedy dokonano pierwszego pomiaru?"
"2018/11/17 9:52:34 PM CET","Kobieta","20","Ściąga","Śpi","Osiłek","Grudzień","2018-05-16 12:27 CET"
"2018/11/17 10:02:07 PM CET","Mężczyzna","19","Ściąga","Śpi","Kat","Marzec","2018-05-14 12:27 CET"
"2018/11/17 10:02:11 PM CET","Mężczyzna","19","Ściąga","Śpi","Kat","Marzec","2018-05-14 12:27 CET"
"2018/11/17 10:18:07 PM CET","Mężczyzna","20","Ściąga","Śpi","Rogownik","Marzec","2018-05-14 12:36 CET"
"2018/11/17 11:12:33 PM CET","Kobieta","21","Płacze","Robi notatki","Kat","Grudzień","2018-05-14 12:27 CET"
"2018/11/17 11:22:11 PM CET","Mężczyzna","22","Ściąga","Śpi","Osiłek","Marzec","2018-05-14 12:27 CET"
"2018/11/17 11:38:11 PM CET","Kobieta","20","Płacze","Śpi","Kat","Marzec","2018-05-14 12:36 CET"
"2018/11/17 11:52:12 PM CET","Kobieta","19","Płacze","Śpi","Rogownik","Grudzień","2018-05-14 12:27 CET"
"2018/11/17 11:55:26 PM CET","Mężczyzna","20","Płacze","Śpi","Rogownik","Marzec","2018-05-14 12:27 CET"
"2018/11/18 12:02:01 AM CET","Kobieta","21","Ściąga","Śpi","Kat","Maj","2018-05-14 12:36 CET"
"2018/11/18 12:02:05 AM CET","Mężczyzna","19","Płacze","Śpi","Osiłek","Marzec","2018-05-16 12:36 CET"
"2018/11/18 12:38:56 AM CET","Mężczyzna","25","Płacze","Robi notatki","Rogownik","Marzec","2018-05-16 12:27 CET"
"2018/11/18 2:11:14 AM CET","Mężczyzna","20","Pisze kolosa","Śpi","Kat","Grudzień","2018-05-14 12:27 CET"
"2018/11/18 2:47:27 AM CET","Kobieta","22 lata","Płacze","Śpi","Osiłek","Marzec","2018-05-16 12:36 CET"
"2018/11/18 3:18:01 AM CET","Kobieta","21","Ściąga","Śpi","Kat","Marzec","2018-05-14 12:27 CET"
"2018/11/18 10:22:15 AM CET","Kobieta","21","Ściąga","Śpi","Szperacz","Wrzesień","2018-05-14 12:36 CET"
"2018/11/18 11:24:41 AM CET","Mężczyzna","24","Płacze","Śpi","Matrymonista","Marzec","2018-05-14 12:27 CET"
"2018/11/18 11:31:29 AM CET","Mężczyzna","21","Ściąga","Śpi","Rogownik","Marzec","2018-05-16 12:36 CET"
"2018/11/18 12:04:14 PM CET","Kobieta","21","Płacze","Śpi","Rogownik","Grudzień","2018-05-16 12:27 CET"
"2018/11/18 12:06:43 PM CET","Mężczyzna","20","Płacze","Śpi","Osiłek","Maj","2018-05-16 12:27 CET"
"2018/11/18 12:15:02 PM CET","Kobieta","20","Płacze","Śpi","Matrymonista","Maj","2018-05-14 12:36 CET"
"2018/11/18 12:35:20 PM CET","Kobieta","23","Płacze","Robi notatki","Rogownik","Marzec","2018-05-14 12:27 CET"
"2018/11/18 2:19:32 PM CET","Mężczyzna","20","Płacze","Śpi","Osiłek","Marzec","2018-05-16 12:27 CET"
"2018/11/18 2:34:11 PM CET","Kobieta","21","Płacze","Śpi","Osiłek","Marzec","2018-05-16 12:36 CET"
"2018/11/18 2:40:46 PM CET","Mężczyzna","19","Płacze","Śpi","Kat","Marzec","2018-05-16 12:36 CET"
"2018/11/18 2:54:56 PM CET","Kobieta","22","Płacze","Śpi","Rogownik","Marzec","2018-05-16 12:27 CET"
"2018/11/18 3:39:27 PM CET","Mężczyzna","22","Płacze","Śpi","Patron","Marzec","2018-05-16 12:27 CET"
"2018/11/18 5:26:09 PM CET","Kobieta","22","Ściąga","Śpi","Rogownik","Grudzień","2018-05-16 12:27 CET"
"2018/11/18 5:31:01 PM CET","Kobieta","21","Pisze kolosa","Śpi","Kat","Marzec","2018-05-14 12:27 CET"
"2018/11/18 11:09:33 PM CET","Kobieta","23","Płacze","Śpi","Kat","Marzec","2018-05-14 12:36 CET"
"2018/11/18 11:24:25 PM CET","Kobieta","22","Ściąga","Śpi","Kat","Grudzień","2018-05-14 12:36 CET"
"2018/11/19 10:27:39 AM CET","Mężczyzna","20","Ściąga","Śpi","Osiłek","Marzec","2018-05-16 12:27 CET"
"2018/11/19 11:45:03 AM CET","Mężczyzna","24","Ściąga","Śpi","Śmigacz","Grudzień","2018-05-14 12:27 CET"
"2018/11/19 2:09:40 PM CET","Mężczyzna","22","Pisze kolosa","Śpi","Matrymonista","Marzec","2018-05-16 12:36 CET"
"2018/11/19 2:38:26 PM CET","Kobieta","23","Ściąga","Śpi","Matrymonista","Marzec","2018-05-16 12:27 CET"
"2018/11/19 3:32:37 PM CET","Kobieta","23","Ściąga","Śpi","Osiłek","Grudzień","2018-05-16 12:27 CET"
"2018/11/19 3:55:04 PM CET","Kobieta","19","Pisze kolosa","Śpi","Śmigacz","Grudzień","2018-05-16 12:27 CET"
