year_of_birth,height,weight,scars,colour,year_of_discovery,number_of_lost_teeth,life_length,BMI
-1604,51.356884577527644,12.980821023516357,13,blue,1705,31,1741.4653965494883,5.8861643771298455
-1728,53.19008708805647,16.96724778995646,0,red,1705,17,927.581823833417,7.172615737733476
824,46.17848686923042,11.905265314813892,1,red,1705,3,632.1321989967108,6.677090259527162
-1275,49.55985989795783,12.86151829874555,5,red,1705,27,1382.041007082753,6.262671979393552
1707,54.43127928811843,14.240442538046675,2,green,1705,1,675.5690149531241,5.7484924827840995
1727,42.883457466556294,11.256852725706988,1,blue,1705,15,960.8141210159154,7.3209082409421296
-1430,45.69227075762791,13.564514590686771,20,red,1705,7,1518.8332225471618,7.770453019682826
75,50.481344694647625,13.406502449471326,1,green,1705,20,1024.6017072641532,6.291891535541155
-1955,42.91076437303312,11.014543301224428,40,red,1705,14,2496.1239109211597,7.154207930595668
-44,56.82174034853749,15.174411484159672,5,green,1705,12,1042.802926786259,5.620958247384598
237,66.26207286172459,17.04397566024425,17,green,1705,6,1400.4441937205227,4.642676627479046
1429,51.791942547715394,13.549148961360114,2,blue,1705,39,1382.3297828717766,6.041088278461711
1146,42.506582302314015,11.014355979229503,17,blue,1705,19,1556.6609184100002,7.290785128738855
478,58.9340547566548,16.071473616628438,1,blue,1705,15,938.9850101554877,5.534146101771066
1215,45.1875116131996,12.150347594497187,53,green,1705,8,2761.4601148346246,7.116712392237944
-522,51.60768453858655,14.923717839763887,20,red,1705,11,1624.843358854224,6.701559011138455
1406,49.52152549751782,14.23565638871082,7,red,1705,31,1355.6805437421358,6.942518294783529
1272,60.61894958617968,16.647698018995058,34,red,1706,13,2113.865794831596,5.418323631135099
-169,44.07473695639818,11.714424614524491,10,green,1706,8,1180.50998047195,7.21222171305011
-256,50.56129500292533,13.672288326312572,8,green,1706,14,1194.3018007230867,6.396352595737216
-100,55.13534298515567,16.685095064114996,3,green,1706,39,1493.9099853964367,6.564415911449217
-1988,52.12706991183397,13.2343310666207,2,blue,1706,15,988.4759900340923,5.825093925621984
911,53.23803484528303,14.333546579994572,3,blue,1706,2,654.5285978431641,6.048353906030235
1183,41.83432139489103,11.568463998886777,4,blue,1706,12,891.1163082067205,7.905654080729116
1105,42.41393082232029,11.305086528177316,13,green,1706,32,1680.8780377175017,7.515959107800088
1764,55.577419416486585,14.099221670430435,3,red,1706,8,887.0500625114172,5.459161578105337
-1812,52.593237996165264,13.645752613914338,7,blue,1706,5,992.3012243034807,5.9001797044629045
1725,47.24343403615536,11.857822749764923,1,blue,1706,8,803.8488887656738,6.35403500685716
1256,42.36633105669715,11.589536449132817,5,blue,1706,39,1498.677136208792,7.722393361413613
-944,51.61275752475897,13.642318514147824,26,blue,1706,26,2161.614212609194,6.124936980236789
132,47.33578933099444,17.053599197296126,4,red,1706,11,953.2144523752827,9.10257718280931
-1732,42.494023002418245,13.533513222856865,2,red,1706,8,823.422296276239,8.963599001031294
1433,45.55930426628416,11.609272428172956,16,blue,1706,34,1790.4712626387566,6.689264999430974
330,48.981103328847475,12.490127932910298,23,red,1706,23,1982.8061933516315,6.226404405020705
1549,48.67415822927242,13.671013326439828,5,blue,1706,14,1093.1791474707825,6.901307406853947
400,56.29429595562122,15.612525492956031,7,red,1706,16,1215.7857003669596,5.892124864679927
1418,41.07692032859826,11.036580074054969,11,red,1706,13,1186.1015141525418,7.82287394945608
-1704,55.948113803803956,16.116378422601887,20,blue,1706,22,1811.7494561529236,6.157779342376719
-103,44.03219320276753,13.897456985466441,7,red,1707,12,1120.1900436172639,8.572791634374887
1483,53.68978841774464,13.77399448272524,4,red,1707,11,890.4630233331352,5.714840119833289
1062,64.04937542885365,16.405890862233495,1,green,1707,35,1273.3818197369358,4.782969209818334
281,45.475309973805366,11.560306135546405,5,red,1707,28,1371.6497698700302,6.685679666169687
602,63.50862425712014,16.388729189888302,13,green,1707,37,1741.6952985893345,4.8596773291868365
1163,47.049289756065086,11.930318410178144,2,red,1707,15,873.7242024656225,6.445749986497247
-433,46.37045173585051,12.385798620613214,1,red,1707,38,1388.41557306474,6.889202115520094
378,48.37430286826086,13.035137388928426,0,red,1707,10,819.3544310507078,6.6621397638149125
1351,49.60931069322765,13.358312968647065,15,red,1707,33,1763.4296153276155,6.491615582788714
-1028,57.898947110160016,15.695209319135714,13,green,1707,13,1378.7943102059455,5.599552810536525
-1272,52.72403581159608,13.876819707640463,3,red,1707,39,1494.2193441559805,5.9703558677321755
-337,54.3043078156642,14.321181079574933,0,green,1707,35,1334.5566569285447,5.8081501700358
-475,52.12416048406235,15.022411560701434,11,green,1707,25,1519.1354304673769,6.61285613603363
-1933,52.98478982281719,14.67543225461792,3,red,1707,17,1051.027591778121,6.251957762244126
235,34.067464323192695,10.892060762480499,1,green,1707,28,1216.1236997486953,11.224267311833392
629,48.29915612497933,12.982614949139686,4,red,1707,4,746.7396646125507,6.655959274571632
-451,46.56059997134544,13.27054277886775,36,blue,1707,31,2644.836606956509,7.32114680864978
1620,50.24783703249335,13.270232344778192,1,red,1707,37,1390.336724043736,6.2859561682542315
11,43.69229735223834,11.783188672048862,3,red,1707,11,935.6130287151362,7.382112096516775
1423,39.86143255786077,11.766984002098804,5,red,1707,30,1281.9001690549278,8.857005680290783
-155,55.0610380012636,15.794970517617006,2,blue,1707,29,1229.569242178448,6.230997773471937
-1666,55.724588735758076,14.444839462354484,5,red,1707,24,1243.5336323049564,5.56348012450186
1006,51.2703027980106,13.986144130860403,4,blue,1708,18,1040.7301916981742,6.363467054184624
-477,58.909186598761856,15.43086436234699,15,red,1708,33,1858.8818247991628,5.318042046616755
1663,51.98810352186867,13.844453069140298,2,blue,1708,13,972.2080889897363,6.126259916985741
935,47.720710514157716,12.293814192071483,5,blue,1708,15,1035.1989179207287,6.4565483505918415
-670,46.76067949788624,12.833622460104372,15,red,1708,6,1344.6597232257611,7.019645776016572
-1987,50.20587571446959,13.500399191163353,13,red,1708,38,1877.2857665990903,6.405677681344574
-681,41.85884145432288,11.389761613102404,3,green,1708,8,865.6878437396106,7.7744162885391965
-1331,66.21814423681096,18.07490145004532,2,red,1708,8,840.0539863336927,4.930029208602059
-130,60.09602156901275,15.95648616514714,3,blue,1708,34,1387.2852834812868,5.2841286301140595
-1945,51.7649684847368,12.944127627236492,8,red,1708,11,1126.2191799659115,5.777346876510612
1114,48.74428008065931,12.205086841682993,10,blue,1708,26,1409.4983651543798,6.143574342769043
-1331,52.719426477171346,13.396121404094588,4,green,1708,10,975.4136009988125,5.764548346733462
983,42.37129444141218,11.608838551779762,9,blue,1708,11,1066.0116040635678,7.733442713964373
-746,53.21413126528381,13.552599898390767,9,red,1708,26,1477.7062528256968,5.723955243679089
1527,59.736374852805206,16.416413335766755,8,red,1708,9,1098.7198826101871,5.502095401367289
-464,45.125857764233324,12.800230042648417,1,red,1708,7,770.1425346992025,7.517862869119806
1774,51.40305441638874,13.116610210906831,1,blue,1708,9,814.8644161219938,5.9370584707188625
-233,52.817145322736984,13.581089094021895,3,blue,1708,39,1472.2236566397332,5.822537767531972
-66,65.81615763132228,16.7462214286736,22,blue,1708,17,1845.4138695736967,4.623590319272133
-1286,55.64069492171769,18.3998020359285,5,red,1708,15,1114.4685977994986,7.108134300993639
617,53.05049868277108,14.260530956920187,13,red,1708,27,1557.6856044795584,6.060163196115756
49,40.76555920013801,10.726780257572864,6,blue,1708,16,1173.601139221512,7.719872737014243
-1493,53.25343965509158,13.99277818471472,6,blue,1708,26,1333.7418500632205,5.9011436471523995
-741,49.8764714396536,12.481987415882191,2,red,1708,14,979.4671353916542,6.00094799351546
-495,44.377352122713184,12.42112251565603,0,green,1708,24,1093.2194312527681,7.543373985714277
-1605,58.38873999315208,18.306717036223954,5,green,1708,22,1196.4485189088532,6.422140862736993
-1544,47.292803625283106,14.078936792279976,1,green,1708,4,692.4529033475336,7.528480032807426
-418,44.61287735505461,12.99243772419723,9,green,1708,6,1115.0267925980531,7.807243777016526
1760,44.646284580532665,12.402557532336514,5,blue,1708,32,1419.556111069935,7.441631648396089
-801,50.2595930268066,15.314711081227221,30,blue,1708,13,2065.330875553966,7.251008898198435
-314,44.175621340596976,11.44219785150744,7,green,1708,37,1619.7130655156514,7.012480795863412
1217,55.79353442693514,15.147909294535337,26,red,1708,0,1530.8425914972504,5.819859669480253
-964,44.92074228538267,11.401568360441372,5,green,1709,2,837.5136116147197,6.757690736838034
152,64.14904708897653,16.4311844886233,1,green,1709,20,996.5496816967218,4.775468868227553
-944,49.07811694975432,13.776965002471968,2,red,1709,36,1394.08353661636,6.840775500394209
744,49.58898873716537,12.906861148998003,4,red,1709,5,781.8055405717824,6.277369594380841
-1495,48.68077452532289,12.480528289580935,2,red,1709,19,1020.0689995909489,6.298622431691517
-235,47.26413082487784,12.274385185371841,5,blue,1709,37,1525.9213115012612,6.571491668191638
1323,52.965063323303795,13.931672749351645,4,red,1709,38,1423.9306886372945,5.9395266868039664
101,52.24628440923039,13.074754485394035,1,green,1709,14,942.5184822071083,5.728623593365852
670,56.01510865733802,14.97450892187373,7,red,1709,18,1136.4432973367846,5.707813688439272
-829,49.00741553941212,12.676617431916492,10,green,1709,30,1606.2962029211228,6.312586597753827
-188,41.582543970561225,11.664452075336637,5,red,1709,16,1135.690592364015,8.068072599087905
-853,53.47676729129326,13.54316098964232,5,red,1709,28,1358.051598817321,5.663922657452684
-855,44.00068235310999,11.082899002142467,1,green,1709,23,1081.168074332791,6.846397614355816
-1531,47.92384769660998,13.506306094698456,5,red,1709,27,1342.1826086984393,7.033326758357606
1127,47.72765426061893,12.04581112914229,0,green,1709,16,811.5770647092079,6.324459774138208
-1965,40.417959654752316,10.720872445975468,4,blue,1709,14,1034.0855575762398,7.848902279508726
1549,46.360847139718295,12.490800146317392,14,red,1709,17,1473.7061561659127,6.95048481202008
-1992,51.666769707757346,13.361203649126766,10,red,1709,24,1504.0918039579044,5.986190447121845
1149,48.44979717932283,12.516634038592723,13,red,1709,23,1494.6494131254813,6.377216969223101
1535,50.152873604239424,13.414746774005952,2,red,1709,36,1441.6224684743142,6.378497661994638
-1280,44.24342989369262,11.490303471595135,2,red,1709,7,817.0612115691872,7.020394046169407
-838,54.669982586954205,15.171223531617688,18,green,1709,19,1682.3015145902891,6.070861169006753
415,46.84770465958146,11.85045202834334,5,red,1709,32,1410.56469554673,6.4578186888364035
-1391,62.720291124365865,15.786333099946578,20,red,1710,23,1875.231798214258,4.799463537541556
-1088,52.16695225924815,13.36693686657212,15,red,1710,2,1198.695098534572,5.874467866725708
-385,44.4870735054921,11.324986226905407,7,blue,1710,33,1535.3194128704677,6.843804149792469
-1907,61.728518905551994,16.102934253510526,3,green,1710,20,1157.0741170096119,5.054298316863882
1753,55.94822326676914,14.201712901708655,1,green,1710,9,826.0402313669272,5.4261987304509525
2,54.70314016588505,14.48623790013671,3,red,1710,38,1506.1974714976275,5.789734703249253
1103,51.15359047096682,13.110944376896352,47,blue,1710,36,3105.1690910178254,5.992517288095079
897,51.659813884399746,13.87894491683273,6,red,1710,15,1045.8266981071508,6.219827539631617
-1144,55.00191539975269,16.039236879973405,4,red,1710,17,1110.353433858872,6.340969134370784
659,45.86701871358157,11.766256205030533,0,blue,1710,9,649.9221177247964,6.689056138338306
1718,46.32754301006352,11.966024817589439,9,blue,1710,39,1727.783679034459,6.668051242287919
1610,61.38732095032018,17.560276808014354,6,red,1710,28,1397.0956333305999,5.573160648149813
-1369,64.47399428232406,16.72103147517615,5,red,1710,34,1487.8577197847644,4.8108462427301735
-400,57.4070969578557,14.525517135409832,3,blue,1710,28,1281.2120868241186,5.271424581473576
-467,53.27245090213291,13.439442710764604,4,blue,1710,21,1195.4747457108235,5.663742107036956
1091,46.235454491307244,11.888428037745234,6,blue,1710,25,1244.6531823976245,6.651226482777138
1526,45.49389858348363,11.438917983765883,19,red,1710,13,1614.3777225650754,6.610072168135242
-1546,46.502608281331305,11.806296917319806,3,green,1710,7,872.1899869776742,6.529600955483633
1584,52.670389467145355,13.713378574988582,2,red,1710,23,1151.13193113308,5.912061881812343
-1083,53.006925390209645,14.709217325028675,2,red,1711,19,1049.2434414364482,6.2611181831783185
-1655,43.4809034768117,10.918231050101978,18,red,1711,15,1632.3148755334341,6.906892976718364
-360,37.16677955687908,11.007120143912825,5,red,1711,6,915.0512767164532,9.529967257492963
1745,46.99167211199235,13.269277143753074,1,red,1711,0,683.1203156988581,7.186758187296946
-1174,50.63856038358291,13.68085283851764,14,red,1711,14,1416.421437193534,6.380842655234608
-153,61.855449072829465,15.75366099135035,17,black,1711,39,2081.487574277445,4.9243978411150655
452,40.845376544159,10.25409535050674,5,red,1711,36,1505.0125695185636,7.350876199596434
1502,52.30798709370465,13.417207578056166,7,red,1711,31,1513.8600235908714,5.864806505258835
-613,50.552294086038074,17.866959933672085,8,blue,1711,24,1445.0527312565603,8.361736756870435
-1446,65.09381854682857,18.986035676918796,12,red,1711,21,1531.6234428946295,5.358982760288646
-1567,50.649968989745325,15.196211103361868,26,blue,1711,35,2359.5966130586653,7.084423511401486
-1450,54.59379208129146,13.841147978427506,15,red,1711,5,1300.7525318849268,5.554093085734818
885,56.61658491343526,15.289339482184134,14,red,1711,34,1732.1595235962302,5.704649292633666
-1186,44.30801034853924,11.120731971098902,18,red,1711,8,1551.408987933906,6.774799423586057
-772,36.13732158228251,9.727455692886046,4,red,1711,30,1367.6098050497274,8.908711718356335
1542,39.6106161125705,10.195264686009669,2,red,1711,29,1261.4739712384958,7.771464640554464
-26,42.71277146220863,12.202422988034362,4,blue,1711,6,877.0082408474902,7.999413316895602
-1510,57.09680792133452,14.582007815537647,8,green,1711,14,1219.7974925866833,5.34959905843235
1489,53.37581399974251,13.998347879752577,0,red,1711,19,882.8651887342324,5.876453784040372
1791,47.28798779486718,12.065076970530306,11,red,1711,33,1689.700188324578,6.45291573019543
267,36.37895687259228,9.809694881504885,10,green,1711,7,1156.0760198311004,8.865078398804702
-1791,53.97079368105281,14.256233619908079,4,blue,1711,25,1278.5718371925498,5.8534883640845905
1735,38.54938364124911,10.014884635114711,2,blue,1711,1,714.8789915558592,8.060066758460062
669,53.300239170878235,13.63106699869387,10,red,1711,24,1359.6954637964645,5.738509461380516
-1148,55.665530783987585,15.415374537363212,2,blue,1711,28,1222.1225885739368,5.949890006270206
-1169,40.27660190086123,11.238387103120173,3,red,1712,6,823.4075004428383,8.285637094749886
980,44.46275703945082,11.140650800396507,4,red,1712,29,1250.2405701706,6.739774236718302
-298,47.586679305206175,12.121301845909771,10,red,1712,10,1211.2137495078684,6.401857923601974
-104,59.727773243925434,15.288551994690414,8,green,1712,22,1354.9470995112938,5.125559415449502
-570,53.138755638134036,13.630750909443089,6,blue,1712,18,1194.8373062505298,5.773306125629233
-504,60.417576000001596,15.439479204337191,1,red,1712,2,709.8131670443183,5.0586381853582045
741,51.164727546306736,14.160320315476044,8,blue,1712,32,1465.1650111772165,6.469330089379903
-1310,42.19759234308355,10.753599941933286,11,green,1712,16,1377.7602286813617,7.222808433299941
1371,53.95312521694232,14.921824511626282,4,green,1712,29,1255.04250795272,6.130787752766614
-948,57.88444171978803,14.691904464392383,14,red,1712,15,1431.2056276483968,5.244232804816407
-1625,51.104842129644474,13.098592633223918,4,red,1712,38,1471.7890291734466,5.998298841226129
928,48.17659596899803,13.235903680716307,4,blue,1712,12,885.3478355896622,6.8203858077051835
745,40.017231819352034,10.296498740357787,3,red,1712,19,1012.8347641832817,7.689941741780195
1086,41.472128912370586,11.033999563551491,8,blue,1712,35,1517.2658712451364,7.672693821153401
1784,39.502812387724646,10.155129580834242,29,red,1712,4,1851.1398194207936,7.7831787085593565
1498,54.14804230822278,14.67790246891786,4,green,1712,5,794.8164199784579,5.98723140259701
-652,57.191474464446244,14.306406080532454,1,blue,1712,30,1223.673038115402,5.2311301661872225
1390,34.361682945266956,9.165984304472952,16,red,1712,22,1547.7958590805524,9.284485063606262
-1895,51.06693644426778,12.791820139522896,6,blue,1713,29,1413.804250568861,5.866516544713191
-997,57.843779702659525,15.146578311684499,6,green,1713,18,1205.7684055283767,5.414131164844022
112,47.88789990721657,13.706264442192227,12,red,1713,37,1825.52432540079,7.148173552943424
387,39.63836249750837,10.299898158863147,3,red,1713,30,1321.9313236959513,7.840235100008221
-1200,38.09219518866633,10.019468201799926,10,red,1713,14,1293.7067756222295,8.258482150662045
-1847,47.16004170823395,11.938150808614491,0,red,1713,9,799.4318090042754,6.419722639320375
-715,42.62019993751585,12.626379673320823,14,blue,1713,9,1361.8911285068464,8.313338113462386
-764,62.433048732318305,16.525146755282748,10,red,1713,26,1551.9142560090322,5.070418476302288
220,46.05492674230994,11.749269020854088,0,blue,1713,31,1228.0905152229936,6.625005168907268
-487,56.89002598919688,14.949822058171787,15,red,1713,25,1669.8268666716276,5.524478965654299
1158,51.46985837570202,13.341186752391039,9,red,1713,25,1351.4514131014753,6.023044644203187
72,51.810864981825056,13.358294721367434,3,red,1713,18,1050.4271942383812,5.951643378091498
1614,44.31523331151964,12.56274487416628,1,red,1713,29,1228.3838494418173,7.650785482713617
-510,57.54180411706273,14.738065810619306,1,blue,1713,37,1381.3800045160594,5.323547189729908
-622,47.321819111747644,12.736325949399161,3,blue,1713,14,995.819495612194,6.802191714747006
1276,54.296495520051664,13.586141645014225,3,red,1713,12,852.7283930200919,5.511630617608546
1667,46.011653643635114,12.33786789523265,4,green,1713,35,1475.401350104228,6.969987466773486
274,53.507245503011575,14.621909332331041,1,red,1714,6,743.5155647912985,6.108104559593918
-899,46.70617545239892,12.850032032966244,2,red,1714,23,1117.552372885544,7.045035123707732
-1706,49.03614043006654,12.753310432152036,13,blue,1714,11,1320.4623034268852,6.343339212954846
380,47.86700294405788,14.87835414298329,5,red,1714,16,1112.782287289711,7.766225286094284
-1560,47.71705354074112,12.93205918757259,19,red,1714,15,1647.297959665977,6.792787228255614
657,51.63121580265327,13.355223261583259,5,red,1714,2,753.5860221145189,5.991754546730633
1408,41.374476854544454,11.602907055212166,1,blue,1714,5,633.6686324146101,8.106424599068472
-1059,45.362351521354626,12.68753357960099,1,red,1714,3,739.7673817301732,7.3741785775006115
-872,58.71855357280781,16.235009761677645,4,red,1714,1,790.4921384014236,5.631569152617301
270,51.4561612345139,15.578587735873592,3,red,1714,38,1459.2156587953791,7.036891950357326
1521,47.21249721913418,11.944866049957476,40,green,1714,14,2469.5220965801764,6.409068371591954
-906,50.361599578695504,13.237090980444602,0,red,1714,2,664.9066585565017,6.241961530242027
-1977,51.473748477153904,13.835433327079757,8,red,1714,16,1220.4135324109118,6.245234338211001
177,56.99080310706158,14.295791962044586,1,green,1714,30,1280.8710491256852,5.264125452612088
-1357,47.26781087286738,11.9074389793228,24,red,1714,10,1758.6120601631458,6.374042450387393
-803,42.71903217776862,12.403294938083532,33,red,1714,20,2337.8392332004673,8.128713673913309
320,51.312442945656976,15.046615416608837,7,blue,1714,21,1308.7577031172057,6.834724335148924
-84,37.962576713365344,10.532075365020056,21,blue,1714,2,1471.1796862407973,8.740376854772405
51,60.37399724195244,15.490389997774258,14,red,1714,25,1623.066717080886,5.082648263542053
1139,38.94329585395229,10.49963240676317,21,green,1714,27,1857.8205876736051,8.280112773989666
-1487,54.003881516302926,14.559226097815927,5,green,1714,20,1205.7175457963222,5.970571508522336
177,53.000458061470894,15.02698332616091,3,red,1715,16,984.0502708336055,6.397939421084688
1604,44.470256431003435,12.417456089005091,1,red,1715,27,1210.733426730488,7.509671341112849
562,47.74401451644624,12.207753486270992,6,red,1715,34,1425.7777920073272,6.405093135237431
275,41.25754724491451,10.554702175021736,7,red,1715,37,1656.3896612073931,7.415949045023376
