DATE,UNEMPLOYED,JOB_OPENINGS
"2015-9-1",7891000,5367000
"2015-10-1",7884000,5536000
"2015-11-1",7948000,5225000
"2015-12-1",7907000,5396000
"2016-1-1",7811000,5726000
"2016-2-1",7806000,5601000
"2016-3-1",8024000,5944000
"2016-4-1",7942000,5892000
"2016-5-1",7465000,5695000
"2016-6-1",7812000,5650000
"2016-7-1",7723000,5982000
"2016-8-1",7827000,5515000
"2016-9-1",7919000,5650000
"2016-10-1",7761000,5485000
"2016-11-1",7419000,5631000
"2016-12-1",7502000,5490000
"2017-1-1",7642000,5442000
"2017-2-1",7486000,5616000
"2017-3-1",7171000,5607000
"2017-4-1",7021000,6101000
"2017-5-1",6837000,5689000
"2017-6-1",6964000,6125000
"2017-7-1",6956000,6202000
"2017-8-1",7127000,6044000
"2017-9-1",6759000,6229000
"2017-10-1",6524000,6059000
"2017-11-1",6616000,5931000
"2017-12-1",6576000,5669000
"2018-1-1",6684000,6230000
"2018-2-1",6706000,6074000
"2018-3-1",6585000,6638000
"2018-4-1",6346000,6840000
"2018-5-1",6065000,6659000
"2018-6-1",6564000,6822000
"2018-7-1",6280000,7077000
"2018-8-1",6234000,7136000
