Text;Top5%;Emoji_1;Emoji_2;Emoji_3;Emoji_4;Emoji_5;Pct_1;Pct_2;Pct_3;Pct_4;Pct_5
</b>   Play over this image.;0.55319460481405258;24;48;16;47;63;0.209397;0.160204;0.0845826;0.0510975;0.0479128
"</b>   One bikini beauty is singled out. She's a gorgeous
   brunette named SIDNEY. Sidney stands facing camera
   holding a TEC-9 and describing it.";0.50888567417860031;24;47;63;8;60;0.22337;0.10056;0.0907204;0.0569576;0.0372776
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"SIDNEY
</b>                   (to camera)
             Hi, I'm Sidney. And I love to TEC-9.
             The popular TEC-9 is advertised by
             its makers as being tough as the
             toughest customer.";0.36981315538287163;24;42;51;47;31;0.120784;0.0693521;0.0607208;0.0598938;0.0590623
"</b>   SIDNEY'S STATISTICS: Age, height, measurements, date of
   birth, appear at the bottom left-hand corner. As Sidney
   continues her sales pitch/demonstration, a BLACK MAN'S
   VOICE begins talking over the video.";0.50403433665633202;24;16;47;63;33;0.236894;0.100244;0.0919379;0.0393382;0.0356197
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"BLACK MAN (O.S.)
</b>             That's a TEC-9. It's a cheap ass
             spray gun outta South Miami.";0.57922118529677391;42;48;11;13;51;0.351645;0.0746413;0.0663416;0.0533982;0.0331948
</b>   After a CLOSEUP of the TEC-9, Sidney FIRES the weapon.;0.526167131960392;42;48;24;63;58;0.267029;0.105111;0.0601721;0.0531051;0.0407499
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"BLACK VOICE (O.S.) (CONT'D)
</b>             Cost three-eighty retail. I get them
             for two hundred and sell 'em for
             eight.";0.53694688901305199;48;11;24;47;16;0.18347;0.16837;0.107036;0.0405436;0.0375273
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"INT. MELANIE'S BEAHC APARTMENT - NIGHT
</b>";0.52406788244843483;48;16;24;47;11;0.155407;0.153955;0.109668;0.0581848;0.046853
</b>   The Black Voice belong to forty-five-year old ORDELL;0.634505745023489;48;11;24;63;47;0.231437;0.141099;0.132554;0.0690406;0.0603757
"ROBBIE.
</b>";0.64485080912709236;16;24;48;47;11;0.222452;0.154984;0.136456;0.0954915;0.0354673
"</b>   Ordell wears clothes nice and likes wearing nice clothes.
   Stylish, athletic wear (Reebok), heavy, black leather
   jackets (Hugo Boss), warm-colored berets and baseball
   caps to cover his balding head are Ordell's ""look."" At
   this moment Ordell's wearing an open silk shirt.";0.51834413409233093;24;63;47;16;33;0.229048;0.116862;0.0856999;0.0449097;0.0418251
"</b>   Ordell narrates the video playing on the big-screen V.
   (the most expensive thing in the apartment). He holds a
   cocktail in one hand (screwdriver, his drink of choice)
   and the remote control in the other, pacing the floor in
   his I-can-talk-anybody-into-anything voice.";0.29329640045762062;63;24;16;11;47;0.0780733;0.0739641;0.0495003;0.0473558;0.0444028
"</b>   LOUIS GARA, who looks like he does his shopping at the
   Salvation Army (dressed in a Hawaiian shirt and
   dungarees), sits on the sofa staring blankly at the
   video, drinking Jack Daniels on ice. Louis, white, also
   in his mid forties, has lived over half of his life in
   penal institutions. The experience has affected both his
   body language and his thought process.";0.48547223582863808;24;16;63;47;8;0.141607;0.126669;0.0971646;0.0832961;0.036736
"</b>   While acutely aware of the rhythm of life inside a
   correction facility, in the real world his timing is
   thrown. It's like a song he doesn't know the lyrics to
   but attempt to sing anyway.";0.21677057817578316;16;63;30;52;22;0.0623336;0.0539659;0.0355565;0.0324951;0.0324196
"</b>   The third person watching the video is the person who
   lives in this apartment, MELANIE RALSTON. Melanie, thirty-
   three, is a tanned, blonde, California beach bunny. Like
   the kind you se in the old Crown International movies
   from the seventies like ""Pom Pom Girls"" ""Malibu Beach""
   and ""Beach Girls,"" except Melanie is older than any of
   those girls ever are. She's dressed in her Melanie-
   uniform of stringy Levis cutoffs and a stringy bra top.
   So far Melanie has been able to make a living out of
   lying in the sun, always finding a generous, wealthy man
   more than willing to pay her rent and pick up her tabs.
   In her prime (twenty two) it was Japanese industrialists,
   film production guys, and Middle Eastern businessmen who
   kept Melanie. And it was places like the Bahamas,
   Acapulco, and the Virgin Islands where they kept her.";0.43041807040572166;24;16;63;47;8;0.13625;0.0922817;0.0861018;0.0686793;0.0471051
"</b>   But now, at thirty three, she lives in an apartment in
   Hermosa Beach, California that Ordell pays for an drops
   in and out of. She's curled up in a reclining chair,
   smoking weed from a pipe, reading Movieline Magazine and
   paying no attention to the video.";0.27501533180475235;16;63;48;11;33;0.0777003;0.0509202;0.0500249;0.0494064;0.0469635
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL
</b>             This TEC-9? They advertise it as
             being the most popular gun in
             American crime. Can you believe that
             shit? It actually says that on the
             little booklet that comes with it.
             ""Most Popular Gun in American Crime,""
             like they're proud of that shit.";0.35492093488574028;42;24;16;41;13;0.137348;0.0861535;0.0442409;0.0438392;0.0433393
</b>   Ordell hits the fast-forward on his remote control.;0.46948595717549324;48;11;63;24;16;0.203572;0.079459;0.0722505;0.0708329;0.0433712
"</b>   Sidney is rushed off the screen and replace by CINDY, a
   pretty, blonde bodybuilder clad in a red, white and blue
   bikini, holding a Styer Aug.";0.4417417049407959;24;47;63;16;11;0.192284;0.0895386;0.0586929;0.0548475;0.0463783
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL (CONT'D)
</b>             Check out this body-builder chick...
             Now see what she got. That's a Styer
             aug. Styer Aug's a bad motherfucker.
             Listen.";0.32648743689060211;11;48;41;24;13;0.0846091;0.0815613;0.061583;0.0502359;0.0484983
</b>   Ordell punches up the volume.;0.51028687506914139;48;58;11;24;57;0.174999;0.158386;0.0703964;0.0647066;0.0417994
</b>   Cindy BLASTS the Styer Aug, loud.;0.56422782689332962;24;63;16;48;47;0.230271;0.109381;0.0843873;0.0747218;0.0654667
</b>   Ordell imitates the sound of the weapon.;0.55627825111150742;42;48;24;11;63;0.221534;0.12693;0.0872784;0.0665063;0.0540293
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL (CONT'D)
</b>             Shit's expensive, man. Comes from
             Austria. My customers don't know shit
             about it, so there ain't no demand.
                   (to Melanie)
             Baby, I could use some more ice.";0.30659258365631104;24;16;30;47;63;0.117921;0.0806278;0.0422554;0.0370713;0.0287172
"</b>   Melanie puts down the magazine, takes his cocktail glass
   from him and moves to the kitchen.";0.52672441303730011;24;16;63;47;48;0.182512;0.136013;0.0736298;0.0680884;0.0664812
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL (CONT'D)
</b>             But put that bad boy in a flick,
             every motherfucker out there want
             one. I'm serious as a heart attack.
             Them Hong Kong movies came out, every
             nigga gotta have a forty-five. And
             they don't want one, they want two,
             cause nigga want to be ""The Killer.""
             What they don't know, and that movie
             don't tell you is a .45 has a serious
             fuckin' jammin' problem. I always try
             and steer a customer towards a 9-
             millimeter. Damn near the same
             weapon, don't have half the jammin'
             problems. But some niggas out there,
             you can't tell them anything. They
             want a .45. The killer had a .45,
             they want a .45.";0.23714450374245644;55;24;13;37;32;0.0559034;0.0500518;0.0471428;0.0427758;0.0412707
"</b>   Melanie comes back, hands Ordell his screwdriver, then
   sits where she was.";0.30471806973218918;24;16;47;63;11;0.114665;0.0726254;0.0474218;0.0378478;0.0321582
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL (CONT'D)
</b>             Thanks, Baby.";0.64342363364994526;24;16;47;63;23;0.346237;0.154325;0.0862918;0.0292994;0.0272704
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"LOUIS
</b>             Who's your partner?";0.42059661820530891;16;24;41;48;47;0.19333;0.0841299;0.0504767;0.0491472;0.0435129
"</b>   Ordell sits down on the couch. Melanie's reading
   ""Movieline Inside"" magazine.";0.40355544164776802;16;24;47;33;63;0.153731;0.116892;0.047439;0.0427598;0.0427338
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL
</b>             Mr. Walker. He runs a fishing boat in
             Mexico. I deliver the merchandise to
             him, gets it to my customers. On all
             my bulk sales, anyway. Nigga didn't
             have a pot to piss in or a window to
             throw it out 'fore I set 'em up. Now,
             motherfucker's rollin' in cash. He
             got himself a yacht, with all kinds
             of high tech navigational shit on it.
                   (back to video)
             AK-47, the very best there is.";0.49241754040122032;24;47;16;48;8;0.200879;0.101944;0.0979429;0.0585011;0.0331508
"</b>   GLORIA, a tall, Amazonian, bikini-clad, black woman faces
   camera and describes the AK-47.";0.53069202974438667;24;42;63;47;16;0.195567;0.125082;0.0930469;0.0701767;0.0468188
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL (CONT'D)
</b>             When you absolutely, positively,
             gotta kill every motherfucker in the
             room, accept no substitute. That
             there is the Chinese one. I pay eight-
             fifty and double my money.";0.33438850939273834;42;13;24;48;51;0.105901;0.0710894;0.0598032;0.0524934;0.0451016
</b>   The phone rings.;0.55847510695457458;24;16;63;48;47;0.193023;0.153148;0.0776997;0.0674684;0.0671362
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL(CONT'D)
</b>             Get that for me, will ya baby?";0.44098973274230957;24;16;48;47;63;0.168575;0.100767;0.0635649;0.0624488;0.0456341
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE
</b>             You know it's for you.";0.75897881388664246;48;24;16;47;11;0.329016;0.157801;0.124636;0.0793933;0.0681324
</b>   Ordell just stares at her.;0.4420148953795433;16;24;41;63;47;0.159477;0.115765;0.0671362;0.0536746;0.045962
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL
</b>             Girl, you better not make me go over
             there and put my feet to ya.";0.40051958337426186;16;24;47;48;55;0.225974;0.0646393;0.0372928;0.0364159;0.0361976
</b>   Louis keeps staring at he screen.;0.55036298371851444;16;24;47;41;63;0.265093;0.140591;0.060196;0.0601321;0.0243509
"</b>   Melanie gets up, goes over to the counter that separates
   the living room from the kitchen, picks up the phone,
   says:";0.2295614667236805;24;48;11;16;63;0.0541855;0.0490766;0.0435596;0.0416409;0.0410988
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE
</b>             Hello.";0.54194539412856102;24;48;16;47;11;0.161742;0.148728;0.117081;0.0630881;0.0513056
"</b>   Puts the phone down and says;";0.42540945485234261;16;24;30;47;48;0.136382;0.117707;0.0682669;0.0532801;0.0497736
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE (CONT'D)
</b>             It's for you.";0.68722905218601227;24;48;47;16;11;0.237078;0.22262;0.0932065;0.0720249;0.0623004
"</b>   Before Ordell knows it, Melanie is back in the reclining
   chair, reclining back all the way.";0.37497301772236824;16;63;24;33;30;0.117155;0.072667;0.0717592;0.0651063;0.0482851
"</b>   Ordell, pissed, looks at her a moment before taking the
   phone.";0.39033788442611694;55;32;37;16;42;0.110851;0.0930679;0.077236;0.0614198;0.0477635
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL
</b>                   (into phone)
             Yeah.
                   (pause)
             Hey, Junebug, what's up";0.28666896745562553;16;24;38;30;31;0.0841606;0.0716637;0.0463532;0.0431596;0.0413319
"</b>   Louis sits on he couch, drinking his Jack Daniels,
   watching the video.";0.4180261455476284;16;24;63;48;47;0.12733;0.117449;0.0668315;0.0548373;0.0515784
"</b>   Melanie lies back on the reclining chair, takes a hit off
   her pipe, then says in a 'holding in smoke' voice;";0.35523576661944389;11;24;48;16;47;0.0833338;0.0811304;0.0781972;0.0660778;0.0464965
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE
</b>                   (referring to the tape)
             It's boring, isn't it?";0.40665417909622192;48;16;11;41;63;0.165523;0.0944016;0.0636388;0.0456793;0.0374115
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"LOUIS
</b>             I can sit through it once.";0.45889651961624622;16;24;47;48;51;0.207196;0.122782;0.0682568;0.0318045;0.028858
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE
</b>             He thinks he's Joe Gunn now.";0.41864870861172676;16;48;24;42;47;0.1494;0.110083;0.0762569;0.0433286;0.0395803
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"LOUIS
</b>             I'm impressed. He knows a lot.";0.41519371420145035;16;24;47;48;40;0.146016;0.121599;0.058292;0.0496373;0.0396491
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE
</b>             He's just repeating shit he
             overheard. He ain't any more a gun
             expert than I am.";0.36477182991802692;42;51;25;48;55;0.237763;0.0384264;0.032212;0.0288068;0.0275638
</b>   Holding up her pipe.;0.54406004026532173;24;16;47;48;63;0.232138;0.15006;0.0709733;0.0482518;0.0426371
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE
</b>             Want a hit?";0.39968705922365189;42;48;11;58;24;0.132299;0.0699716;0.0682055;0.0671504;0.0620607
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"LOUIS
</b>             Sure.";0.51073102653026581;24;48;16;47;11;0.139152;0.136188;0.113172;0.0636046;0.0586145
</b>   Louis takes a hit off the pipe.;0.32930350676178932;16;24;48;31;63;0.122355;0.0613749;0.0560975;0.0468994;0.0425765
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE
</b>             When did you get out of jail?";0.39560825377702713;16;24;48;47;51;0.150103;0.0766553;0.0717623;0.0568228;0.0402652
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"LOUIS
</b>             Four days ago.";0.36822361126542091;48;24;46;11;47;0.0952122;0.0930879;0.0790907;0.0593709;0.0414619
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE
</b>             Where at?";0.61426855251193047;48;11;24;16;47;0.347736;0.0924756;0.0766527;0.0533932;0.0440109
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"LOUIS
</b>             Susanville.";0.54834660515189171;16;24;47;48;51;0.177482;0.140464;0.0920793;0.0859761;0.0523454
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE
</b>             How long?";0.66726252809166908;48;16;11;24;47;0.395576;0.0917035;0.0893796;0.0563475;0.0342557
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"LOUIS
</b>             Two months shy of four years.";0.43769971653819084;24;48;16;47;11;0.116713;0.101047;0.0944629;0.0706706;0.0548068
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE
</b>             Four years?";0.57190437614917755;48;11;24;47;63;0.251958;0.101624;0.100407;0.0724783;0.045437
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"LOUIS
</b>             Uh-huh.";0.54834660515189171;16;24;47;48;51;0.177482;0.140464;0.0920793;0.0859761;0.0523454
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE
</b>             What for?";0.52881539985537529;48;24;11;16;47;0.244941;0.0924237;0.0694483;0.0646328;0.05737
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"LOUIS
</b>             Bank robbery.";0.6823989637196064;48;11;24;42;47;0.446465;0.12456;0.0557511;0.0288539;0.0267691
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE
</b>             Really, I'm impressed.";0.60221442207694054;48;16;24;11;47;0.267719;0.101053;0.0946839;0.0803624;0.0583967
</b>   Louis takes a drink of whiskey.;0.50692486017942429;16;24;47;63;11;0.234501;0.115646;0.0683778;0.0488904;0.0395102
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE
</b>             Four years that's a long fuckin time.";0.55520470626652241;48;11;24;47;46;0.303626;0.115298;0.0660065;0.0458375;0.0244362
</b>   Louis nods his head in agreement.;0.50390414521098137;16;24;48;47;63;0.175317;0.157047;0.0692876;0.0563083;0.0459443
</b>   Ordell hangs up the phone.;0.46244000270962715;16;24;48;47;63;0.204631;0.112749;0.0606666;0.044127;0.0402667
"</b>   Ordell comes back, sitting down on the other side of
   Louis.";0.51063891686499119;16;24;47;63;30;0.243162;0.135808;0.0601215;0.0441238;0.0274242
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL
</b>             See, what did I tell you? Man in New
             York wants a 9 millimeter Smith and
             Wesson Model 5946. Why does he want
             it? It's the gun that nigga on ""New
             York Undercover"" uses. Because of
             that nigga, I can sell it to this
             nigga for twelve-fifty.";0.29095551744103432;42;51;55;32;37;0.127664;0.04407;0.0437114;0.0405301;0.0349801
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"LOUIS
</b>             What's your cost?";0.35493351519107819;16;24;48;47;11;0.117221;0.0955319;0.0571966;0.0464303;0.0385538
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL
</b>             As low as two.";0.5749804675579071;16;24;48;47;11;0.29662;0.107121;0.0875802;0.0547374;0.0289219
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"LOUIS
</b>             Are you serious?";0.25809085741639137;16;25;24;55;46;0.0667092;0.0495163;0.0485088;0.0472895;0.046067
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL
</b>             That's what I been tellin' you. Start
             adding these motherfuckin' figures
             up, and you tell me this ain't a
             business to be in.";0.639604227617383;48;11;13;30;42;0.325189;0.210976;0.0520682;0.0279303;0.0234403
</b>   The phone rings again.;0.46614952012896538;16;24;63;47;48;0.172119;0.133339;0.0677999;0.0508512;0.0420403
</b>   Ordell looks at Melanie.;0.43205928802490234;16;24;63;47;41;0.116927;0.10724;0.106605;0.057231;0.0440564
</b>   Melanie looks at Ordell.;0.45864264667034149;24;63;16;47;41;0.183868;0.0942028;0.0736017;0.0555762;0.0513935
"</b>   They have a bit of a staring contest before she gets up
   and gets the phone.";0.39904506504535675;16;24;50;33;41;0.189543;0.0709204;0.0480214;0.0474279;0.0431327
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL (CONT'D)
</b>             I got me five M-60 machine guns.
             These came straight from the Gulf
             War. I sold me three of them so far,
             twenty grand a piece.";0.53432271629571915;42;48;11;24;57;0.22639;0.11423;0.0850696;0.0634503;0.0451836
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"LOUIS
</b>             That's good money.";0.48688117042183876;16;24;47;48;51;0.25454;0.0974571;0.0603942;0.0394632;0.0350269
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL
</b>             Louis, this is it, man. I'm gonna
             make me a million dollars out of
             this. I already got me a half-a-
             million sittin' in Mexico. When I do
             this last delivery, I'm gonna make me
             another half-million.";0.38791597262024879;11;48;24;16;47;0.1354;0.12131;0.0627477;0.0384458;0.0300122
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"LOUIS
</b>             Then what?";0.35666600242257118;24;16;48;11;47;0.114051;0.0679769;0.06662;0.0542167;0.053801
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL
</b>             I get out. Spend the rest of my life
             spending.";0.4923076368868351;48;24;11;16;30;0.221287;0.0882577;0.0698164;0.0639831;0.048963
</b>   Melanie sits back down in he chair.;0.46536167711019516;24;48;63;16;47;0.137868;0.105182;0.0839322;0.0720112;0.0663682
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL (CONT'D)
</b>             Who is it?";0.48611310496926308;24;16;47;48;63;0.173628;0.149781;0.0707049;0.0568286;0.0351706
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"MELANIE
</b>             It's Beaumont.";0.58349821716547012;48;24;16;47;11;0.206335;0.150398;0.0883678;0.0774649;0.0609324
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"KITCHEN
</b>";0.68901930004358292;16;48;24;47;11;0.415917;0.144583;0.054161;0.0407803;0.0335781
</b>   Ordell, drink in hand, picks up the receiver.;0.35550777986645699;63;16;24;48;30;0.0874006;0.073201;0.0708491;0.0635722;0.0604848
</b>;0.6023625023663044;16;24;47;48;63;0.359805;0.0915905;0.070295;0.042295;0.0383767
"ORDELL
</b>                   (into phone)
             Beaumont¢Ordell. What's the problem?
                   (pause)
             What the fuck you doin' in jail?
                   (pause)
             What the fuck you doin' that for?
                   (pause)
             Ain't you got better sense than to be
             drivin' drunk carrying a goddam
             pistol?";0.28683797270059586;55;48;38;32;11;0.0614192;0.0581721;0.0579811;0.0553429;0.0539226
