"","birthplace","date_of_birth","race_ethnicity","religion","year_of_award","movie","person"
"115","Hamden, Ct","24-Jan-17","White","Na",1956,"Marty","Ernest Borgnine"
"116","Vladivostok, Russia","11-Jul-20","White","Na",1957,"The King and I","Yul Brynner"
"117","London, England","2-Apr-14","White","Roman Catholic",1958,"The Bridge on the River Kwai","Alec Guinness"
"118","London, England","1-Mar-09","White","Na",1959,"Separate Tables","David Niven"
"119","Evanston, Il","4-Oct-23","White","Protestant",1960,"Ben-hur","Charlton Heston"
"120","New York City","2-Nov-13","White","Protestant",1961,"Elmer Gantry","Burt Lancaster"
"121","Vienna, Austria","8-Dec-30","White","Na",1962,"Judgement at Nuremberg","Maximilian Schell"
"122","La Jolla, Ca","5-Apr-16","White","Roman Catholic",1963,"To Kill a Mockingbird","Gregory Peck"
"123","Miami, Fl","20-Feb-27","Black","Deist",1964,"Lilies of the Field","Sidney Poitier"
"124","Huyton, Lancashire, England","5-Mar-08","White","Na",1965,"My Fair Lady","Rex Harrison"
"125","New York City","19-Feb-24","White","Na",1966,"Cat Ballou","Lee Marvin"
"126","Hurstpierpoint, West Sussex, England","21-Jan-22","White","Na",1967,"A Man For All Seasons","Paul Scofield"
"127","Westhampton, Ny","14-Apr-25","White","Lutheran",1968,"In the Heat of the Night","Rod Steiger"
"128","La Jolla, Ca","9-Sep-23","White","Na",1969,"Charly","Cliff Robertson"
"129","Winterset, Ia","26-May-07","White","Roman Catholic",1970,"True Grit","John Wayne"
"130","Wise, Va","18-Oct-27","White","Na",1971,"Patton","George C. Scott"
"131","San Bernardino, Ca","30-Jan-30","White","Na",1972,"The French Connection","Gene Hackman"
"132","Omaha, Ne","3-Apr-24","White","Deist",1973,"The Godfather","Marlon Brando"
"133","Newton, Ma","8-Feb-25","White","Roman Catholic",1974,"Save the Tiger","Jack Lemmon"
"134","Mount Vernon, Ny","4-Nov-18","White","Na",1975,"Harry and Tonto","Art Carney"
"135","New York City","22-Apr-37","White","Atheist",1976,"One Flew Over the Cuckoo's Nest","Jack Nicholson"
"136","South Kensington, London, England","28-Sep-16","White","Na",1977,"Network","Peter Finch"
"137","Brooklyn, Ny","29-Oct-47","White","Jewish",1978,"The Goodbye Girl","Richard Dreyfuss"
"138","Yonkers, Ny","29-Dec-38","White","Roman Catholic",1979,"Coming Home","Jon Voight"
"139","Los Angeles, Ca","8-Aug-37","White","Jewish",1980,"Kramer vs. Kramer","Dustin Hoffman"
"140","New York City","17-Aug-43","White","Roman Catholic",1981,"Raging Bull","Robert De Niro"
"141","Grand Island, Ne","16-May-05","White","Na",1982,"On Golden Pond","Henry Fonda"
"142","Scarborough, Yorkshire, England","31-Dec-43","Multiracial","Quaker",1983,"Gandhi","Ben Kingsley"
"143","San Diego, Ca","5-Jan-31","White","Na",1984,"Tender Mercies","Robert Duvall"
"144","Pittsburgh, Pa","24-Oct-39","Middle Eastern","Na",1985,"Amadeus","F. Murray Abraham"
"145","Washington, Dc","20-Mar-50","White","Lutheran",1986,"Kiss of the Spider Woman","William Hurt"
"146","Shaker Heights, Oh","26-Jan-25","White","Jewish",1987,"The Color of Money","Paul Newman"
"147","New Brunswick, Nj","25-Sep-44","White","Jewish",1988,"Wall Street","Michael Douglas"
"148","Los Angeles, Ca","8-Aug-37","White","Jewish",1989,"Rainman","Dustin Hoffman"
"149","London, England","29-Apr-57","White","Na",1990,"My Left Foot","Daniel Day-Lewis"
"150","Cowes, Isle of Wight, England","19-Sep-48","White","Na",1991,"Reversal of Fortune","Jeremy Irons"
"151","Port Talbot, Wales","31-Dec-37","White","Na",1992,"Silence of the Lambs","Anthony Hopkins"
"152","East Harlem, New York City","25-Apr-40","White","Roman Catholic",1993,"Scent of a Woman","Al Pacino"
"153","Concord, Ca","9-Jul-56","White","Born-Again Christian",1994,"Philadelphia","Tom Hanks"
"154","Concord, Ca","9-Jul-56","White","Born-Again Christian",1995,"Forrest Gump","Tom Hanks"
"155","Long Beach, Ca","7-Jan-64","White","Roman Catholic",1996,"Leaving Las Vegas","Nicolas Cage"
"156","Toowoomba, Queensland, Australia","6-Jul-51","White","Na",1997,"Shine","Geoffrey Rush"
"157","New York City","22-Apr-37","White","Atheist",1997,"As Good as It Gets","Jack Nicholson"
"158","Misericordia, Arezzo, Tuscany, Italy","27-Oct-52","White","Na",1999,"Life is Beautiful","Roberto Benigni"
"159","South Orange, Nj","26-Jul-59","White","Na",2000,"American Beauty","Kevin Spacey"
"160","Wellington, New Zealand","7-Apr-64","White","Na",2001,"Gladiator","Russell Crowe"
"161","Mount Vernon, Ny","28-Dec-54","Black","Protestant",2002,"Training Day","Denzel Washington"
"162","New York City","14-Apr-73","White","Jewish",2003,"The Pianist","Adrien Brody"
"163","Burbank, Ca","17-Aug-60","White","Roman Catholic",2003,"Mystic River","Sean Penn"
"164","Terrell, Tx","13-Dec-67","Black","Baptist",2005,"Ray","Jamie Foxx"
"165","Fairport, Ny","23-Jul-67","White","Na",2006,"Capote","Philip Seymour Hoffman"
"166","Longview, Tx","15-Jul-61","Black","Na",2007,"The Last King of Scotland","Forest Whitaker"
"167","London, England","29-Apr-57","White","Na",2008,"There Will Be Blood","Daniel Day-Lewis"
"168","Burbank, Ca","17-Aug-60","White","Roman Catholic",2009,"Milk","Sean Penn"
"169","Los Angeles, Ca","4-Dec-49","White","Lutheran",2010,"Crazy Heart","Jeff Bridges"
"170","Grayshott, Hampshire, England","10-Sep-60","White","Na",2011,"The King's Speech","Colin Firth"
"171","Rueil-Malmaison, Hauts-De-Seine, France","19-Jun-72","White","Na",2012,"The Artist","Jean Dujardin"
"172","London, England","29-Apr-57","White","Na",2013,"Lincoln","Daniel Day-Lewis"
"173","Uvalde, Tx","4-Nov-69","White","Na",2014,"Dallas Buyers Club","Matthew McConaughey"
"174","Swampscott, Ma","25-Jul-1894","White","Na",1938,"Come and Get It","Walter Brennan"
"175","Vienna, Austria","22-Mar-1896","White","Na",1938,"The Life of Emile Zola","Joseph Schildkraut"
"176","Swampscott, Ma","25-Jul-1894","White","Na",1939,"Kentucky","Walter Brennan"
"177","Elizabeth, Nj","11-Jul-1892","White","Na",1940,"Stagecoach","Thomas Mitchell"
"178","Swampscott, Ma","25-Jul-1894","White","Na",1941,"The Westerner","Walter Brennan"
"179","London, England","27-Jul-1880","White","Na",1942,"How Green Was My Valley","Donald Crisp"
"180","Walters, Ok","13-Dec-10","White","Na",1943,"Johnny Eager","Van Heflin"
"181","Savannah, Ga","17-Jun-1877","White","Na",1944,"The More the Merrier","Charles Coburn"
"182","Dublin, Ireland","10-Mar-1888","White","Protestant",1945,"Going My Way","Barry Fitzgerald"
"183","New York City","2-Nov-1901","White","Na",1946,"A Tree Grows in Brooklyn","James Dunn"
"184","North Sydney, Nova Scotia, Canada","14-Jan-14","White","Na",1947,"The Best Years of Our Lives","Harold Russell"
"185","Vale of Glamorgan, Wales","26-Sep-1875","White","Na",1948,"Miracle on 34th Street","Edmund Gwenn"
"186","Toronto, Ontario, Canada","6-Apr-1884","White","Na",1949,"The Treasure of the Sierra Madre","Walter Huston"
"187","Lima, Oh","7-Nov-1903","White","Na",1950,"Twelve O'Clock High","Dean Jagger"
"188","St. Petersburg, Russia","3-Jul-06","White","Na",1951,"All About Eve","George Sanders"
"189","Chicago, Il","22-Mar-12","White","Na",1952,"A Streetcar Named Desire","Karl Malden"
"190","Chihuahua, Mexico","21-Apr-15","Hispanic","Na",1953,"Viva Zapata!","Anthony Quinn"
"191","Hoboken, Nj","12-Dec-15","White","Na",1954,"From Here to Eternity","Frank Sinatra"
"192","New York City","10-Sep-15","White","Roman Catholic",1955,"The Barefoot Contessa","Edmond O'Brien"
"193","Newton, Ma","8-Feb-25","White","Roman Catholic",1956,"Mister Roberts","Jack Lemmon"
"194","Chihuahua, Mexico","21-Apr-15","Hispanic","Na",1957,"Lust for Life","Anthony Quinn"
"195","New York City","5-Feb-19","White","Jewish",1958,"Sayonara","Red Buttons"
"196","Hunt City, Il","14-Jun-09","White","Na",1959,"The Big Country","Burl Ives"
"197","Marian Glas, Anglesey, Wales","30-May-12","White","Na",1960,"Ben-Hur","Hugh Griffith"
"198","London, England","16-Apr-21","White","Na",1961,"Spartacus","Peter Ustinov"
"199","Norwood, Oh","16-Sep-34","White","Na",1962,"West Side Story","George Chakiris"
"200","Hartford, Ct","25-Mar-1901","White","Na",1963,"Sweet Bird of Youth","Ed Begley, Sr."
"201","Macon, Ga","5-Apr-1901","White","Jewish",1964,"Hud","Melvyn Douglas"
"202","London, England","16-Apr-21","White","Na",1965,"Topkapi","Peter Ustinov"
"203","Bronx, Ny","4-Nov-19","White","Na",1966,"A Thousand Clowns","Martin Balsam"
"204","New York City","1-Oct-20","White","Jewish",1967,"The Fortune Cookie","Walter Matthau"
"205","New York City","18-Feb-25","White","Na",1968,"Cool Hand Luke","George Kennedy"
"206","Malden, Ma","16-Jun-07","White","Na",1969,"The Subject Was Roses","Jack Albertson"
"207","St. Cloud, Mn","4-Nov-13","White","Na",1970,"They Shoot Horses, Don't They?","Gig Young"
"208","Felixstowe, Suffolk, England","22-Feb-08","White","Na",1971,"Ryan's Daughter","John Mills"
"209","Shidler, Ok","13-Jun-18","White","Na",1972,"The Last Picture Show","Ben Johnson"
"210","Cleveland, Oh","11-Apr-32","White","Jewish",1973,"Cabaret","Joel Grey"
"211","Bucharest, Romania","22-Sep-1902","White","Na",1974,"The Paper Chase","John Houseman"
"212","New York City","17-Aug-43","White","Roman Catholic",1975,"The Godfather Part II","Robert De Niro"
"213","New York City","20-Jan-1896","White","Jewish",1976,"The Sunshine Boys","George Burns"
"214","Chicago, Il","26-Jul-22","White","Na",1977,"All the President's Men","Jason Robards"
"215","Chicago, Il","26-Jul-22","White","Na",1978,"Julia","Jason Robards"
"216","Astoria, Ny","31-Mar-43","White","Na",1979,"The Deer Hunter","Christopher Walken"
"217","Macon, Ga","5-Apr-1901","White","Jewish",1980,"Being There","Melvyn Douglas"
"218","Malibu, Ca","16-Aug-60","White","Na",1981,"Oridnary People","Timothy Hutton"
"219","London, England","14-Apr-04","White","Na",1982,"Arthur","John Gielgud"
"220","Brooklyn, Ny","27-May-36","Black","Na",1983,"An Officer and a Gentleman","Lou Gossett, Jr."
"221","New York City","22-Apr-37","White","Atheist",1984,"Terms of Endearment","Jack Nicholson"
"222","Samrong Young, Cambodia","22-Mar-40","Asian","Buddhist",1985,"The Killing Fields","Haing S. Ngor"
"223","Kenosha, Wi","31-May-04","White","Roman Catholic",1986,"Cocoon","Don Ameche"
"224","Bermondsey, England","14-Mar-33","White","Na",1987,"Hannah and Her Sisters","Michael Caine"
"225","Edinburgh, Scotland","25-Aug-30","White","Roman Catholic",1988,"The Untouchables","Sean Connery"
"226","St. Louis, Mo","24-Oct-47","White","Roman Catholic",1989,"A Fish Called Wanda","Kevin Kline"
"227","Mount Vernon, Ny","28-Dec-54","Black","Protestant",1990,"Glory","Denzel Washington"
"228","Newark, Nj","9-Feb-43","White","Na",1991,"Good Fellas","Joe Pesci"
"229","Lattimer Mines, Pa","18-Feb-19","White","Na",1992,"City Slickers","Jack Palance"
"230","San Bernardino, Ca","30-Jan-30","White","Na",1993,"Unforgiven","Gene Hackman"
"231","San Saba, Tx","15-Sep-46","White","Na",1994,"The Fugitive","Tommy Lee Jones"
"232","Brooklyn, Ny","20-Jun-31","White","Jewish",1995,"Ed Wood","Martin Landau"
"233","South Orange, Nj","26-Jul-59","White","Na",1996,"The Usual Suspects","Kevin Spacey"
"234","Bronx, Ny","2-Jan-68","Black","Na",1997,"Jerry Maguire","Cuba Gooding, Jr."
"235","Chicago, Il","21-Jul-51","White","Anglican/episcopalian",1998,"Good Will Hunting","Robin Williams"
"236","Laurel, Ne","31-Aug-28","White","Na",1999,"Affliction","James Coburn"
"237","Bermondsey, England","14-Mar-33","White","Na",2000,"The Cider House Rules","Michael Caine"
"238","Santurce, Puerto Rico","19-Feb-67","Hispanic","Na",2001,"Traffic","Benicio Del Toro"
"239","Lincoln, Lincolnshire, England","24-May-49","White","Na",2002,"Iris","Jim Broadbent"
"240","Kansas City, Mo","9-Jul-51","White","Na",2003,"Adaptation","Chris Cooper"
"241","West Covina, Ca","16-Oct-58","White","Roman Catholic",2004,"Mystic River","Tim Robbins"
"242","Memphis, Tn","1-Jun-37","Black","Na",2005,"Million Dollar Baby","Morgan Freeman"
"243","Lexington, Ky","6-May-61","White","Na",2006,"Syriana","George Clooney"
"244","Brooklyn, Ny","26-Mar-34","White","Jewish",2007,"Little Miss Sunshine","Alan Arkin"
"245","Las Palmas De Gran Canaria, Canary Islands","1-Mar-69","Hispanic","Na",2008,"No Country for Old Men","Javier Bardem"
"246","Perth, Australia","4-Apr-79","White","Na",2009,"The Dark Knight","Heath Ledger"
"247","Na","4-Oct-56","White","Na",2010,"Inglourious Basterds","Christoph Waltz"
"248","Haverfordwest, Pembrokeshire, Wales","30-Jan-74","White","Na",2011,"The Fighter","Christian Bale"
"249","Toronto, Ontario, Canada","13-Dec-29","White","Na",2012,"Beginning","Christopher Plummer"
"250","Na","4-Oct-56","White","Na",2013,"Django Unchained","Christoph Waltz"
"251","Bossier City, La","26-Dec-71","White","Na",2014,"Dallas Buyers Club","Jared Leto"
"252","Philadelphia, Pa","6-Oct-06","White","Na",1929,"7th Heaven","Janet Gaynor"
"253","Toronto, Ontario, Canada","8-Apr-1892","White","Na",1930,"Coquette","Mary Pickford"
"254","Montreal, Quebec, Canada","10-Aug-1902","White","Na",1930,"The Divorcee","Norma Shearer"
"255","Cobourg, Ontario, Canada","2-Nov-1868","White","Na",1931,"Min and Bill","Marie Dressler"
"256","Washington, Dc","10-Oct-1900","White","Na",1932,"The Sin of Madelon Claudet","Helen Hayes"
"257","Hartford, Ct","12-May-07","White","Atheist",1934,"Morning Glory","Katharine Hepburn"
"258","Paris, France","13-Sep-1903","White","Na",1935,"It Happened One Night","Claudette Colbert"
"259","Lowell, Ma","5-Apr-08","White","Na",1936,"Dangerous","Bette Davis"
"260","Dusseldorf, Germany","12-Jan-10","White","Jewish",1937,"The Great Ziegfeld","Luise Rainer"
"261","Dusseldorf, Germany","12-Jan-10","White","Jewish",1938,"The Good Earth","Luise Rainer"
"262","Lowell, Ma","5-Apr-08","White","Na",1939,"Jezebel","Bette Davis"
"263","Darjeeling, India","5-Nov-13","White","Roman Catholic",1940,"Gone with the Wind","Vivien Leigh"
"264","Independence, Mo","16-Jul-11","White","Christian Science",1941,"Kitty Foyle","Ginger Rogers"
"265","Tokyo, Japan","22-Oct-17","White","Na",1940,"Suspicion","Joan Fontaine"
"266","London, England","29-Sep-04","White","Na",1942,"Mrs. Miniver","Greer Garson"
"267","Tulsa, Ok","2-Mar-19","White","Roman Catholic",1944,"The Song of Bernadette","Jennifer Jones"
"268","Stockholm, Sweden","29-Aug-15","White","Na",1945,"Gaslight","Ingrid Bergman"
"269","San Antonio, Tx","23-Mar-05","White","Christian Science",1946,"Mildred Pierce","Joan Crawford"
"270","Tokyo, Japan","1-Jul-16","White","Na",1947,"To Each His Own","Olivia de Havilland"
"271","Salt Lake City, Ut","6-Jan-13","White","Roman Catholic",1948,"The Farmer's Daughter","Loretta Young"
"272","St. Joseph, Mo","5-Jan-17","White","Roman Catholic",1949,"Johnny Belinda","Jane Wyman"
"273","Tokyo, Japan","1-Jul-16","White","Na",1950,"The Heiress","Olivia de Havilland"
"274","New York City","21-Jun-21","White","Na",1951,"Born Yesterday","Judy Holliday"
"275","Darjeeling, India","5-Nov-13","White","Roman Catholic",1952,"A Streetcar Named Desire","Vivien Leigh"
"276","New York City","30-Aug-1898","White","Na",1953,"Come Back, Little Sheba","Shirley Booth"
"277","Brussels, Belgium","4-May-29","White","Christian Science",1954,"Roman Holiday","Audrey Hepburn"
"278","Philadelphia, Pa","12-Nov-29","White","Roman Catholic",1955,"The Country Girl","Grace Kelly"
"279","Rome, Italy","7-Mar-08","White","Na",1956,"The Rose Tattoo","Anna Magnani"
"280","Stockholm, Sweden","29-Aug-15","White","Na",1957,"Anastasia","Ingrid Bergman"
"281","Thomasville, Ga","27-Feb-30","White","Na",1958,"The Three Faces of Eve","Joanne Woodward"
"282","Brooklyn, Ny","30-Jun-18","White","Roman Catholic",1959,"I Want To Live!","Susan Hayward"
"283","Wiesbaden, Germany","25-Mar-21","White","Na",1960,"Room at the Top","Simone Signoret"
"284","London, England","27-Feb-32","White","Jewish",1961,"Butterfield 8","Elizabeth Taylor"
