Region|Country|PM10_annual_mean_ug/m3|PM10_year|PM2.5_annual_mean_ug/m3|PM2.5_year|nr_and_type_of_monitoring_stations|reference_for_air_quality
Amr LMI|Paraguay|||18|2010|3 stations in capital city|#N/A
Amr LMI|Peru|63|2011|38|2011|4 stations in capital  metropolitan region|#N/A
Amr LMI|Venezuela (Bolivarian Republic of)|47|2011|26||Monitoring in 2 cities|#N/A
Emr HI|Bahrain|254|2012|57|2012|3 urban background stations in 3 cities|#N/A
Emr HI|Oman|82|2008-2010|31||4 stations in 1 city: 1 commercial, 2 industrial, 1 unknown|#N/A
Emr HI|Qatar|165|2012|92|2012|4 stations in 2 cities : 1 station is mobile|#N/A
Emr HI|Saudi Arabia|87|2011|28|2011|7 stations in 1 city: 3 residential, 3 urban and 1 suburban|#N/A
Emr HI|United Arab Emirates|161|2011|61||4 stations in 3 cities: 3 urban/residential, 1 unknown|#N/A
Emr LMI|Afghanistan|268|2009|84|2009|2 urban stations in 2 cities|#N/A
Emr LMI|Egypt|136|2011|74|2011|"87 stations in 42 sites:  Industrial areas (represented by 11 sites); Urban city centers (9 sites); Streets and road sides (3 sites); Residential areas (10 sites); Regional and background areas (3 sites); Mixed areas (6 sites)


"|#N/A
Emr LMI|Iran|127|2010|76|2010|16 stations in 3 cities for PM10, 9 stations in 2 cities for PM2.5|#N/A
Emr LMI|Jordan|128|2010|48||4 stations in 1 city: 2 high and 2 low pollution areas|#N/A
Emr LMI|Lebanon|63|2010|20|2010|3 stations in 1 city|#N/A
Emr LMI|Pakistan|282|2010|101|2010|6 stations in 4 cities: 2 unknowns, 1 industrial/residential, 1 commercial/residential, 2 residential|#N/A
Eur HI|Andorra|24|2010|16||Stations: 1 , cities: 1|#N/A
Eur HI|Austria|27|2011|19|2011|Stations: 18 background, cities: 5|#N/A
Eur HI|Belgium|27|2011|18|2011|Stations: 11 background, cities: 5|#N/A
Eur HI|Cyprus|36|2011|23|2011|Stations: 1 background, cities: 1|#N/A
Eur HI|Czech Republic|29|2011|21|2011|Stations: 29 background, cities: 15|#N/A
Eur HI|Denmark|13|2010|16|2011|Stations: 1 background, cities: 1|#N/A
Eur HI|Estonia|13|2011|7|2011|Stations: 4 background, cities: 3|#N/A
Eur HI|Finland|12|2011|7|2011|Stations: 5 background, cities: 4|#N/A
Eur HI|France|25|2011|18|2011|Stations: 135 background, cities: 81|#N/A
Eur HI|Germany|23|2011|17|2011|Stations: 89 background, cities: 69|#N/A
Eur HI|Greece|26|2011|17||Stations: 4 background, cities: 3|#N/A
Eur HI|Iceland|9|2011|5|2011|Stations: 3 background, cities: 3|#N/A
Eur HI|Ireland|18|2011|9|2011|Stations: 3 background, cities: 2|#N/A
Eur HI|Israel|64|2010|23|2010|23 stations in 10 cities (PM10), 16 stations in 8 cities (PM2.5):  urban background, residential, commercial.|Israel Ministry of Environmental Protection http://www.sviva.gov.il/InfoServices/ReservoirInfo/ResearchAndPublications/Pages/Publications/P0601-P0700/P0684.aspx,http://www.sviva.gov.il/subjectsEnv/SvivaAir/AirQualityData/Pages/AirMoritoringReports.aspx
Eur HI|Italy|32|2011|25|2011|Stations: 60 background, cities: 47|#N/A
Eur HI|Latvia|23|2011|16|2009|Stations: 1 background, cities: 1|#N/A
Eur HI|Lithuania|23|2011|15||Stations: 3 background, cities: 2|#N/A
Eur HI|Luxembourg|18|2011|14|2011|Stations: 1 background, cities: 1|#N/A
Eur HI|Malta|||12|2011|Stations: 1 background, cities: 1|#N/A
Eur HI|Monaco|20|2010|13||Stations: 2 , cities: 1|#N/A
Eur HI|Netherlands|25|2011|17|2011|Stations: 11 background, cities: 7|#N/A
Eur HI|Norway|20|2011|8|2011|Stations: 4 background, cities: 4|#N/A
Eur HI|Poland|39|2011|27|2011|Stations: 73 background, cities: 53|#N/A
Eur HI|Portugal|27|2011|12|2011|Stations: 16 background, cities: 15|#N/A
Eur HI|Slovakia|34|2011|26|2011|Stations: 7 background, cities: 5|#N/A
Eur HI|Slovenia|31|2011|24|2011|Stations: 2 background, cities: 1|#N/A
Eur HI|Spain|23|2011|12|2011|Stations: 52 background, cities: 44|#N/A
Eur HI|Sweden|17|2011|9|2011|Stations: 4 background, cities: 4|#N/A
Eur HI|Switzerland|23|2011|15||Stations: 7 background, cities: 6|#N/A
Eur HI|United Kingdom|21|2011|14|2011|Stations: 28 background, cities: 26|#N/A
Eur LMI|Belarus|24|2008|16||Stations: 4 background, cities: 4|#N/A
Eur LMI|Bosnia and Herzegovina|49|2010|33||Stations: 1 background, cities: 1|#N/A
Eur LMI|Bulgaria|58|2011|41|2011|Stations: 17 background, cities: 13|#N/A
Eur LMI|Hungary|33|2011|27|2011|Stations: 5 background, cities: 3|#N/A
Eur LMI|Romania|39|2011|20|2011|Stations: 6 background, cities: 5|#N/A
Eur LMI|Russian Federation|33|2009|22||Stations: 6 background, cities: 1|#N/A
Eur LMI|Serbia|53|2011|36||Stations: 4 background, cities: 2|#N/A
Eur LMI|Turkey|58|2011|39||Stations: 95 background, cities: 71|#N/A
Sear |Bangladesh|163|2013|79|2013|11 stations in 8 cities|#N/A
Sear |Bhutan|23|2011|10||1 urban background station in capital city|#N/A
Sear |India|134|2009-2012|59||240 residential and other stations in 122 cities|#N/A
Sear |Indonesia|48|2010|21||NA|#N/A
Sear |Maldives|20|2011|9||1 station in capital city|#N/A
Sear  |Myanmar|69|2008|30||2 stations, in one city|#N/A
Sear |Nepal|114|2008|50||NA|#N/A
Sear |Sri Lanka|64|2010|28||1 station: urban|#N/A
Sear |Thailand|39|2012|21||53 stations|#N/A
Wpr HI|Australia|10||6|2010-2011|29 stations in 15 cities|#N/A
Wpr HI|Brunei Darussalam|12|2010|5|||#N/A
Wpr HI|Japan|21|2010|10||1370 sites|#N/A
Wpr HI|New Zealand|16|2011-2012|7||Approximately 34 stations in 17 cities (mostly urban, residential)|#N/A
Wpr HI|Republic of Korea|51|2010|23||>90 monitoring stations in 38 cities|#N/A
Wpr HI|Singapore|27|2011|17|2011|11 stations in urban background, industrial, commercial, suburban and roadside locations distributed all over Singapore|#N/A
Wpr LMI|China|90|2010|41||Monitoring stations in 112 cities|#N/A
Wpr LMI|Malaysia|29|2011|13|||#N/A
Wpr LMI|Mongolia|140|2009-2010|64||Not found|#N/A
Wpr LMI|Philippines|50|2010|23||4 stations in 3 cities|#N/A
Wpr LMI|Vietnam|65|2009|30||Not found|Cities Act, Clean Air Asia Database
