"Sygnatura czasowa","Które województwo ma największą powierzchnie ?","Które województwo ma najmniejszą powierzchnie ?","Która odpowiedź jest poprawna ?","Która odpowiedź jest poprawna ?","Które województwo ma największą powierzchnie ?","Które województwo ma najmniejszą powierzchnie ?","Która odpowiedź jest poprawna ?","Która odpowiedź jest poprawna ?"
"2018/11/18 8:15:17 PM CET","Mazowieckie","Opolskie","Podkarpackie < Pomorskie < Łódzkie","Lubelskie < Zachodniopomorskie < Wamińsko-Mazurskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 8:28:00 PM CET","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 8:31:36 PM CET","Mazowieckie","Opolskie","Podkarpackie < Pomorskie < Łódzkie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 8:43:00 PM CET","Wielkopolskie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Wamińsko-Mazurskie < Lubelskie < Zachodniopomorskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Lubelskie < Zachodniopomorskie < Wamińsko-Mazurskie"
"2018/11/18 8:54:50 PM CET","Mazowieckie","Opolskie","Łódzkie < Pomorskie < Podkarpackie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 9:09:09 PM CET","Mazowieckie","Opolskie","Podkarpackie < Pomorskie < Łódzkie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 10:24:33 PM CET","Mazowieckie","Opolskie","Podkarpackie < Pomorskie < Łódzkie","Wamińsko-Mazurskie < Lubelskie < Zachodniopomorskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 10:46:25 PM CET","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Wamińsko-Mazurskie < Zachodniopomorskie < Lubelskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/19 2:16:27 AM CET","Mazowieckie","Opolskie","Podkarpackie < Pomorskie < Łódzkie","Lubelskie < Zachodniopomorskie < Wamińsko-Mazurskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/19 8:04:43 AM CET","Wielkopolskie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/19 9:32:58 AM CET","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/19 2:15:24 PM CET","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Lubelskie < Zachodniopomorskie < Wamińsko-Mazurskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/19 9:46:31 PM CET","Mazowieckie","Opolskie","Podkarpackie < Pomorskie < Łódzkie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/20 6:50:50 AM CET","Mazowieckie","Świętokrzyskie","Łódzkie < Pomorskie < Podkarpackie","Lubelskie < Zachodniopomorskie < Wamińsko-Mazurskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Wamińsko-Mazurskie < Zachodniopomorskie < Lubelskie"
"2018/11/20 7:54:13 PM CET","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
