title,gross,lifetime_gross,movie_facebook_likes,imdb_score,title_year,actor_1_name,actor_2_name,actor_3_name
Furious 7,350034110.0,353007020,94000,7.2,2015.0,Jason Statham,Paul Walker,Vin Diesel
World War Z,202351611.0,202359711,129000,7.0,2013.0,Peter Capaldi,Brad Pitt,Mireille Enos
X-Men: Days of Future Past,233914986.0,233921534,82000,8.0,2014.0,Jennifer Lawrence,Peter Dinklage,Hugh Jackman
Star Trek Into Darkness,228756232.0,228778661,92000,7.8,2013.0,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke
Jack the Giant Slayer,65171860.0,65187603,22000,6.3,2013.0,Eddie Marsan,Ewen Bremner,Ralph Brown
The Great Gatsby,144812796.0,20563273,115000,7.3,2013.0,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley
The Great Gatsby,144812796.0,20563273,115000,7.3,2013.0,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley
Prince of Persia: The Sands of Time,90755643.0,90759676,23000,6.6,2010.0,Jake Gyllenhaal,Richard Coyle,Reece Ritchie
Pacific Rim,101785482.0,101802906,83000,7.0,2013.0,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell
Transformers: Dark of the Moon,352358779.0,352390543,46000,6.3,2011.0,Glenn Morshower,Lester Speight,Kevin Dunn
Indiana Jones and the Kingdom of the Crystal Skull,317011114.0,317101119,5000,6.2,2008.0,Harrison Ford,Ray Winstone,Jim Broadbent
The Good Dinosaur,123070338.0,123087120,20000,6.8,2015.0,A.J. Buckley,Jack McGraw,Peter Sohn
Brave,237282182.0,237283207,39000,7.2,2012.0,Kelly Macdonald,John Ratzenberger,Julie Walters
Star Trek Beyond,130468626.0,158848340,30000,7.5,2016.0,Sofia Boutella,Melissa Roxburgh,Lydia Wilson
2012,166112167.0,166112167,13000,5.8,2009.0,Oliver Platt,Liam James,Tom McCarthy
Jupiter Ascending,47375327.0,47387723,44000,5.4,2015.0,Channing Tatum,Mila Kunis,Eddie Redmayne
The Legend of Tarzan,124051759.0,126643061,29000,6.6,2016.0,Christoph Waltz,Alexander Skarsgård,Casper Crump
The Legend of Tarzan,124051759.0,126643061,29000,6.6,2016.0,Christoph Waltz,Alexander Skarsgård,Casper Crump
X-Men: Apocalypse,154985087.0,155442489,54000,7.3,2016.0,Jennifer Lawrence,Michael Fassbender,Tye Sheridan
The Dark Knight,533316061.0,534858444,37000,9.0,2008.0,Christian Bale,Heath Ledger,Morgan Freeman
Up,292979556.0,293004164,27000,8.3,2009.0,John Ratzenberger,Delroy Lindo,Jess Harnell
Iron Man,318298180.0,318412101,10000,7.9,2008.0,Robert Downey Jr.,Jeff Bridges,Jon Favreau
Hugo,73820094.0,73864507,42000,7.5,2011.0,Chloë Grace Moretz,Christopher Lee,Ray Winstone
The Mummy: Tomb of the Dragon Emperor,102176165.0,102491776,0,5.2,2008.0,Jet Li,Brendan Fraser,Russell Wong
Suicide Squad,161087183.0,325100054,80000,6.9,2016.0,Will Smith,Robin Atkin Downes,Ike Barinholtz
Edge of Tomorrow,100189501.0,100206256,77000,7.9,2014.0,Tom Cruise,Lara Pulver,Noah Taylor
G.I. Joe: The Rise of Cobra,150167630.0,150201498,0,5.8,2009.0,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard
Inside Out,356454367.0,356461711,118000,8.3,2015.0,Amy Poehler,Mindy Kaling,Phyllis Smith
The Jungle Book,362645141.0,141843612,65000,7.8,2016.0,Scarlett Johansson,Bill Murray,Garry Shandling
The Jungle Book,362645141.0,141843612,65000,7.8,2016.0,Scarlett Johansson,Bill Murray,Garry Shandling
Iron Man 2,312057433.0,312433331,18000,7.0,2010.0,Robert Downey Jr.,Scarlett Johansson,Jon Favreau
Snow White and the Huntsman,155111815.0,155332381,53000,6.1,2012.0,Chris Hemsworth,Kristen Stewart,Sam Claflin
Maleficent,241407328.0,241410378,89000,7.0,2014.0,Angelina Jolie Pitt,Sharlto Copley,Sam Riley
Dawn of the Planet of the Apes,208543795.0,208545589,45000,7.6,2014.0,Gary Oldman,Judy Greer,Kodi Smit-McPhee
The Lovers,,2194521,677,4.5,2015.0,Tamsin Egerton,Alice Englert,Bipasha Basu
The Lovers,,2194521,677,4.5,2015.0,Tamsin Egerton,Alice Englert,Bipasha Basu
47 Ronin,38297305.0,38362475,35000,6.3,2013.0,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi
Captain America: The Winter Soldier,259746958.0,259766572,55000,7.8,2014.0,Scarlett Johansson,Chris Evans,Hayley Atwell
Shrek Forever After,238371987.0,238736787,0,6.4,2010.0,Jon Hamm,Kathy Griffin,Mary Kay Place
Tomorrowland,93417865.0,93436322,37000,6.5,2015.0,Judy Greer,Chris Bauer,Thomas Robinson
Big Hero 6,222487711.0,222527828,41000,7.9,2014.0,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi
Wreck-It Ralph,189412677.0,189422889,40000,7.8,2012.0,Jack McBrayer,Sarah Silverman,Joe Lo Truglio
Independence Day: Resurgence,102315545.0,103144286,67000,5.5,2016.0,Vivica A. Fox,Sela Ward,Judd Hirsch
How to Train Your Dragon,217387997.0,217581231,33000,8.2,2010.0,Gerard Butler,America Ferrera,Craig Ferguson
Guardians of the Galaxy,333130696.0,333176600,96000,8.1,2014.0,Bradley Cooper,Vin Diesel,Djimon Hounsou
Interstellar,187991439.0,188020017,349000,8.6,2014.0,Matthew McConaughey,Anne Hathaway,Mackenzie Foy
Inception,292568851.0,292576195,175000,8.8,2010.0,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt
The Hobbit: An Unexpected Journey,303001229.0,303003568,166000,7.9,2012.0,Aidan Turner,Adam Brown,James Nesbitt
The Curious Case of Benjamin Button,127490802.0,127509326,23000,7.8,2008.0,Brad Pitt,Jason Flemyng,Julia Ormond
X-Men: First Class,146405371.0,146408305,54000,7.8,2011.0,Jennifer Lawrence,Michael Fassbender,Oliver Platt
The Hunger Games: Mockingjay - Part 2,281666058.0,281723902,38000,6.6,2015.0,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson
The Sorcerer's Apprentice,63143812.0,63150991,11000,6.1,2010.0,Nicolas Cage,Omar Benson Miller,Robert Capron
Alice Through the Looking Glass,76846624.0,77041381,30000,6.4,2016.0,Johnny Depp,Alan Rickman,Anne Hathaway
Warcraft,46978995.0,47365290,89000,7.3,2016.0,Dominic Cooper,Callum Rennie,Ruth Negga
The Chronicles of Narnia: The Voyage of the Dawn Treader,104383624.0,104386950,11000,6.3,2010.0,Bruce Spence,Shane Rangi,Laura Brent
Hancock,227946274.0,227946274,0,6.4,2008.0,Will Smith,Charlize Theron,Eddie Marsan
Madagascar: Escape 2 Africa,179982968.0,180010950,0,6.7,2008.0,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer
Night at the Museum: Battle of the Smithsonian,177243721.0,177243721,2000,5.9,2009.0,Robin Williams,Rami Malek,Steve Coogan
X-Men Origins: Wolverine,179883016.0,179883157,0,6.7,2009.0,Hugh Jackman,Ryan Reynolds,Dominic Monaghan
Frozen,400736600.0,400738009,58000,7.6,2013.0,Josh Gad,Maurice LaMarche,Livvy Stubenrauch
Thor: The Dark World,206360018.0,206362140,63000,7.1,2013.0,Chris Hemsworth,Natalie Portman,Anthony Hopkins
Mad Max: Fury Road,153629485.0,154058340,191000,8.1,2015.0,Tom Hardy,Charlize Theron,Zoë Kravitz
Angels & Demons,133375846.0,133375846,0,6.7,2009.0,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl
Thor,181015141.0,181030624,63000,7.0,2011.0,Chris Hemsworth,Natalie Portman,Anthony Hopkins
Bolt,114053579.0,114053579,0,6.9,2008.0,Chloë Grace Moretz,Diedrich Bader,James Lipton
G-Force,119420252.0,119436770,0,5.1,2009.0,Kelli Garner,Piper Mackenzie Harris,Niecy Nash
Wrath of the Titans,83640426.0,83670083,19000,5.8,2012.0,Liam Neeson,Edgar Ramírez,Lily James
Dark Shadows,79711678.0,79727149,82000,6.2,2012.0,Johnny Depp,Chloë Grace Moretz,Christopher Lee
Mission: Impossible - Rogue Nation,195000874.0,195042377,47000,7.4,2015.0,Tom Cruise,Jeremy Renner,Sean Harris
The Wolfman,61937495.0,61979680,0,5.8,2010.0,Anthony Hopkins,Simon Merrells,Art Malik
Kung Fu Panda 2,165230261.0,165249063,20000,7.3,2011.0,Angelina Jolie Pitt,Gary Oldman,Mike Bell
The Last Airbender,131564731.0,131772187,18000,4.2,2010.0,Seychelle Gabriel,Noah Ringer,Aasif Mandvi
White House Down,73103784.0,73103784,33000,6.4,2013.0,Channing Tatum,Jake Weber,Matt Craven
Mars Needs Moms,21379315.0,21392758,0,5.4,2011.0,Elisabeth Harnois,Dan Fogler,Tom Everett Scott
Pan,34964818.0,35088320,24000,5.8,2015.0,Hugh Jackman,Cara Delevingne,Nonso Anozie
Pan,34964818.0,35088320,24000,5.8,2015.0,Hugh Jackman,Cara Delevingne,Nonso Anozie
Pan,34964818.0,35088320,24000,5.8,2015.0,Hugh Jackman,Cara Delevingne,Nonso Anozie
Mr. Peabody & Sherman,111505642.0,111506430,11000,6.9,2014.0,Ty Burrell,Zach Callison,Karan Brar
Madagascar 3: Europe's Most Wanted,216366733.0,216391482,17000,6.9,2012.0,Jada Pinkett Smith,Martin Short,Cedric the Entertainer
Ghostbusters,118099659.0,242212467,62000,5.5,2016.0,Ed Begley Jr.,Kate McKinnon,Zach Woods
Ghostbusters,118099659.0,242212467,62000,5.5,2016.0,Ed Begley Jr.,Kate McKinnon,Zach Woods
Kung Fu Panda 3,143523463.0,143528619,24000,7.2,2016.0,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight
Mission: Impossible - Ghost Protocol,209364921.0,209397903,35000,7.4,2011.0,Tom Cruise,Jeremy Renner,Michael Nyqvist
Rise of the Guardians,103400692.0,103412758,25000,7.3,2012.0,Hugh Jackman,Kamil McFadden,Khamani Griffin
Exodus: Gods and Kings,65007045.0,65014513,51000,6.1,2014.0,Christian Bale,María Valverde,Ben Mendelsohn
Exodus: Gods and Kings,65007045.0,65014513,51000,6.1,2014.0,Christian Bale,María Valverde,Ben Mendelsohn
Star Trek,257704099.0,257730019,19000,8.0,2009.0,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood
How to Train Your Dragon 2,176997107.0,177002924,46000,7.9,2014.0,Gerard Butler,Djimon Hounsou,America Ferrera
Gods of Egypt,31141074.0,31153464,24000,5.5,2016.0,Gerard Butler,Elodie Yung,Bryan Brown
Watchmen,107503316.0,107509799,18000,7.7,2009.0,Matt Frewer,Billy Crudup,Stephen McHattie
G.I. Joe: Retaliation,122512052.0,122523060,42000,5.8,2013.0,Channing Tatum,Dwayne Johnson,Elodie Yung
Captain America: The First Avenger,176636816.0,176654505,46000,6.9,2011.0,Chris Evans,Dominic Cooper,Hayley Atwell
The Incredible Hulk,134518390.0,134806913,0,6.8,2008.0,Ty Burrell,Peter Mensah,William Hurt
The BFG,52792307.0,55483770,27000,6.8,2016.0,Mark Rylance,Penelope Wilton,Rafe Spall
The Revenant,183635922.0,183637894,190000,8.1,2015.0,Leonardo DiCaprio,Tom Hardy,Lukas Haas
Turbo,83024900.0,83028128,13000,6.5,2013.0,Ryan Reynolds,Snoop Dogg,Ben Schwartz
Rango,123207194.0,123477607,26000,7.2,2011.0,Johnny Depp,Ray Winstone,Stephen Root
Penguins of Madagascar,83348920.0,83350911,11000,6.7,2014.0,Benedict Cumberbatch,Annet Mahendru,Andy Richter
Kung Fu Panda,215395021.0,215434591,6000,7.6,2008.0,Angelina Jolie Pitt,Wayne Knight,Dan Fogler
Ant-Man,180191634.0,180202163,61000,7.4,2015.0,Judy Greer,Hayley Atwell,T.I.
The Hunger Games: Catching Fire,424645577.0,424668047,82000,7.6,2013.0,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty
Puss in Boots,149234747.0,149260504,16000,6.7,2011.0,Salma Hayek,Constance Marie,Amy Sedaris
Salt,118311368.0,118311368,23000,6.4,2010.0,Angelina Jolie Pitt,Andre Braugher,August Diehl
Noah,101160529.0,101200044,71000,5.8,2014.0,Anthony Hopkins,Emma Watson,Logan Lerman
The Adventures of Tintin,77564037.0,77591831,44000,7.4,2011.0,Toby Jones,Mackenzie Crook,Tony Curran
Australia,49551662.0,49554002,0,6.6,2008.0,Essie Davis,Bryan Brown,Eddie Baroo
After Earth,60522097.0,60522097,37000,4.9,2013.0,Will Smith,Zoë Kravitz,Glenn Morshower
Night at the Museum: Secret of the Tomb,113733726.0,113746621,11000,6.2,2014.0,Robin Williams,Rami Malek,Steve Coogan
Megamind,148337537.0,148415853,13000,7.3,2010.0,J.K. Simmons,Brad Pitt,Will Ferrell
R.I.P.D.,33592415.0,33618855,20000,5.6,2013.0,Ryan Reynolds,Jeff Bridges,Stephanie Szostak
The Hunger Games: Mockingjay - Part 1,337103873.0,337135885,52000,6.7,2014.0,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson
Rio 2,131536019.0,131538435,0,6.4,2014.0,Miguel Ferrer,Rachel Crow,Jeffrey Garcia
Fast Five,209805005.0,209837675,54000,7.3,2011.0,Paul Walker,Vin Diesel,Dwayne Johnson
Sherlock Holmes: A Game of Shadows,186830669.0,186848418,39000,7.5,2011.0,Robert Downey Jr.,Eddie Marsan,Paul Anderson
The Bourne Legacy,113165635.0,113203870,31000,6.7,2012.0,Jeremy Renner,Scott Glenn,Stacy Keach
Life of Pi,124976634.0,124987023,122000,8.0,2012.0,Suraj Sharma,Rafe Spall,Tabu
Jason Bourne,108521835.0,162434410,31000,7.1,2016.0,Matt Damon,Riz Ahmed,Ato Essandoh
Prometheus,126464904.0,126477084,97000,7.0,2012.0,Michael Fassbender,Charlize Theron,Sean Harris
Elysium,93050117.0,93050117,61000,6.6,2013.0,Matt Damon,Sharlto Copley,Alice Braga
Speed Racer,43929341.0,43945766,0,6.1,2008.0,Scott Porter,Kick Gurry,Nicholas Elia
How Do You Know,30212620.0,30212620,0,5.3,2010.0,Shelley Conn,Domenick Lombardozzi,Teyonah Parris
Oblivion,89021735.0,89107235,71000,7.0,2013.0,Morgan Freeman,Tom Cruise,Zoë Bell
The Wolverine,132550960.0,132556852,68000,6.7,2013.0,Hugh Jackman,Tao Okamoto,Rila Fukushima
The Croods,187165546.0,187168425,28000,7.3,2013.0,Ryan Reynolds,Emma Stone,Nicolas Cage
The Huntsman: Winter's War,47952020.0,48390190,16000,6.1,2016.0,Chris Hemsworth,Sam Claflin,Charlize Theron
Teenage Mutant Ninja Turtles,190871240.0,135265915,62000,5.9,2014.0,Noel Fisher,Danny Woodburn,Jeremy Howard
Teenage Mutant Ninja Turtles,190871240.0,135265915,62000,5.9,2014.0,Noel Fisher,Danny Woodburn,Jeremy Howard
Gravity,274084951.0,274092705,147000,7.8,2013.0,Phaldut Sharma,Basher Savage,Amy Warren
Teenage Mutant Ninja Turtles: Out of the Shadows,81638674.0,82051601,12000,6.3,2016.0,Stephen Amell,Noel Fisher,Brad Garrett
Fantastic Four,56114221.0,56117548,41000,4.3,2015.0,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker
Fantastic Four,56114221.0,56117548,41000,4.3,2015.0,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker
San Andreas,155181732.0,155190832,52000,6.1,2015.0,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi
Gulliver's Travels,42776259.0,42779261,0,4.9,2010.0,James Corden,Catherine Tate,Olly Alexander
The Green Hornet,98780042.0,98780042,14000,5.8,2011.0,Christoph Waltz,Tom Wilkinson,Chad L. Coleman
The Smurfs,142614158.0,142614158,31000,5.5,2011.0,Mahadeo Shivraj,Tim Gunn,Madison McKinley
Real Steel,85463309.0,85468508,36000,7.1,2011.0,Hugh Jackman,Torey Michael Adkins,Olga Fonda
The Smurfs 2,71017784.0,71017784,0,5.4,2013.0,Jacob Tremblay,Nancy O'Dell,Vanessa Matsui
Ender's Game,61656849.0,61737191,123000,6.7,2013.0,Harrison Ford,Moises Arias,Aramis Knight
The Princess and the Frog,104374107.0,104400899,5000,7.1,2009.0,Oprah Winfrey,Jenifer Lewis,Anika Noni Rose
The Martian,228430993.0,228433663,153000,8.1,2015.0,Matt Damon,Donald Glover,Benedict Wong
Public Enemies,97030725.0,97104620,0,7.0,2009.0,Johnny Depp,Christian Bale,Stephen Graham
The Taking of Pelham 1 2 3,65452312.0,65452312,0,6.4,2009.0,Denzel Washington,Ramon Rodriguez,Michael Rispoli
Little Fockers,148383780.0,148438600,0,5.5,2010.0,Robert De Niro,Blythe Danner,Teri Polo
The Other Guys,119219978.0,119219978,16000,6.7,2010.0,Dwayne Johnson,Will Ferrell,Derek Jeter
Django Unchained,162804648.0,162805434,199000,8.5,2012.0,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh
The Expendables 2,85017401.0,85028192,108000,6.7,2012.0,Jason Statham,Sylvester Stallone,Bruce Willis
Where the Wild Things Are,77222184.0,77233467,11000,6.8,2009.0,Catherine O'Hara,Ryan Corr,Max Records
Epic,107515297.0,107518682,17000,6.7,2013.0,Josh Hutcherson,Emma Kenney,Troy Evans
The Tourist,67631157.0,67631157,25000,6.0,2010.0,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell
The Tourist,67631157.0,67631157,25000,6.0,2010.0,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell
The Wolf of Wall Street,116866727.0,116900694,138000,8.2,2013.0,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau
Cloud Atlas,27098580.0,27108272,124000,7.5,2012.0,Tom Hanks,Jim Sturgess,Jim Broadbent
Legend of the Guardians: The Owls of Ga'Hoole,55673333.0,55675313,16000,7.0,2010.0,Abbie Cornish,Richard Roxburgh,Anthony LaPaglia
Hercules,72660029.0,99112101,21000,6.0,2014.0,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal
Hercules,72660029.0,99112101,21000,6.0,2014.0,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal
Land of the Lost,49392095.0,49438370,0,5.4,2009.0,Will Ferrell,Anna Friel,Bobb'e J. Thompson
The Expendables 3,39292022.0,39322544,56000,6.1,2014.0,Jason Statham,Sylvester Stallone,Harrison Ford
Point Break,28772222.0,43218387,37000,5.3,2015.0,Ray Winstone,Edgar Ramírez,Delroy Lindo
Point Break,28772222.0,43218387,37000,5.3,2015.0,Ray Winstone,Edgar Ramírez,Delroy Lindo
In the Heart of the Sea,24985612.0,25020758,27000,7.0,2015.0,Chris Hemsworth,Benjamin Walker,Frank Dillane
Green Zone,35024475.0,35053660,0,6.9,2010.0,Matt Damon,Sean Huze,Igal Naor
The Peanuts Movie,130174897.0,130178411,33000,7.2,2015.0,Francesca Capaldi,Venus Schultheis,Bill Melendez
The Flowers of War,9213.0,311434,13000,7.6,2011.0,Christian Bale,Ni Ni,Shigeo Kobayashi
The Campaign,86897182.0,86907746,18000,6.2,2012.0,Will Ferrell,Thomas Middleditch,Katherine LaNasa
Sex and the City 2,95328937.0,95347692,0,4.3,2010.0,Chris Noth,Liza Minnelli,Kristin Davis
Ice Age: Continental Drift,161317423.0,161321843,14000,6.6,2012.0,Peter Dinklage,Josh Gad,Drake
The Lovely Bones,43982842.0,44114232,16000,6.7,2009.0,Michael Imperioli,AJ Michalka,Tom McCarthy
The Lovely Bones,43982842.0,44114232,16000,6.7,2009.0,Michael Imperioli,AJ Michalka,Tom McCarthy
Seventh Son,17176900.0,17223265,16000,5.5,2014.0,Jeff Bridges,Djimon Hounsou,Olivia Williams
Transcendence,23014504.0,23022309,37000,6.3,2014.0,Johnny Depp,Morgan Freeman,Clifton Collins Jr.
Rise of the Planet of the Apes,176740650.0,176760185,47000,7.6,2011.0,James Franco,David Oyelowo,Tyler Labine
The Spiderwick Chronicles,71148699.0,71195053,0,6.6,2008.0,Martin Short,Tod Fennell,Joan Plowright
A Good Day to Die Hard,67344392.0,67349198,66000,5.3,2013.0,Bruce Willis,Cole Hauser,Megalyn Echikunwoke
Unstoppable,81557479.0,81562942,18000,6.8,2010.0,Denzel Washington,Rosario Dawson,Ethan Suplee
Cloudy with a Chance of Meatballs,124870275.0,124870275,0,7.0,2009.0,Will Forte,Bobb'e J. Thompson,Al Roker
Ice Age: Dawn of the Dinosaurs,196573705.0,196573705,0,7.0,2009.0,Denis Leary,Maile Flanagan,Kelly Keaton
The Secret Life of Walter Mitty,58229120.0,58236838,70000,7.3,2013.0,Adam Scott,Adrian Martinez,Joey Slotnick
Tropic Thunder,110416702.0,110515313,0,7.0,2008.0,Robert Downey Jr.,Steve Coogan,Brandon T. Jackson
The Girl with the Dragon Tattoo,102515793.0,10095170,54000,7.8,2011.0,Robin Wright,Goran Visnjic,Joely Richardson
Sherlock Holmes,209019489.0,209028679,20000,7.6,2009.0,Robert Downey Jr.,Eddie Marsan,Robert Maillet
Ben-Hur,,74000000,0,6.1,2016.0,Morgan Freeman,Ayelet Zurer,Moises Arias
Ben-Hur,,74000000,0,6.1,2016.0,Morgan Freeman,Ayelet Zurer,Moises Arias
Ben-Hur,,74000000,0,6.0,2016.0,Morgan Freeman,Ayelet Zurer,Moises Arias
Alvin and the Chipmunks: The Road Chip,85884815.0,85886987,0,5.0,2015.0,Bella Thorne,Joshua Mikel,Jesse McCartney
Valkyrie,83077470.0,83077833,0,7.1,2008.0,Tom Cruise,Tom Wilkinson,Thomas Kretschmann
You Don't Mess with the Zohan,100018837.0,100018837,0,5.5,2008.0,Adam Sandler,Sayed Badreya,Kevin Nealon
Pixels,78747585.0,78747585,39000,5.6,2015.0,Peter Dinklage,Adam Sandler,Josh Gad
Percy Jackson: Sea of Monsters,68558662.0,68559554,28000,5.9,2013.0,Logan Lerman,Leven Rambin,Brandon T. Jackson
Now You See Me 2,64685359.0,65075540,15000,6.9,2016.0,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan
Rio,143618384.0,143619809,19000,7.0,2011.0,Anne Hathaway,Wanda Sykes,Will.i.am
The Nutcracker in 3D,190562.0,195459,788,4.4,2010.0,Shirley Henderson,Nathan Lane,Richard E. Grant
Hotel Transylvania,148313048.0,148313048,28000,7.1,2012.0,Steve Buscemi,Adam Sandler,Jon Lovitz
Safe House,126149655.0,126373434,19000,6.8,2012.0,Denzel Washington,Ryan Reynolds,Sam Shepard
Tower Heist,78009155.0,78046570,0,6.2,2011.0,Matthew Broderick,Gabourey Sidibe,Judd Hirsch
It's Complicated,112703470.0,112735375,0,6.6,2009.0,Meryl Streep,Hunter Parrish,Zoe Kazan
Divergent,150832203.0,150947895,49000,6.7,2014.0,Kate Winslet,Theo James,Mekhi Phifer
Arthur Christmas,46440491.0,46462469,0,7.1,2011.0,Jim Broadbent,Imelda Staunton,Michael Palin
Mirror Mirror,64933670.0,64935167,18000,5.6,2012.0,Julia Roberts,Nathan Lane,Danny Woodburn
Scott Pilgrim vs. the World,31494270.0,31524275,36000,7.5,2010.0,Anna Kendrick,Kieran Culkin,Ellen Wong
Dredd,13401683.0,13414714,46000,7.1,2012.0,Wood Harris,Jason Cope,Rakie Ayola
Dredd,13401683.0,13414714,46000,7.1,2012.0,Wood Harris,Jason Cope,Rakie Ayola
Cats & Dogs: The Revenge of Kitty Galore,43575716.0,43585753,0,4.3,2010.0,Jack McBrayer,Sean Hayes,Katt Williams
Jumper,80170146.0,80172128,0,6.1,2008.0,Kristen Stewart,Hayden Christensen,Tom Hulce
Hellboy II: The Golden Army,75754670.0,75986503,3000,7.0,2008.0,Seth MacFarlane,Iván Kamarás,Brian Steele
The Expendables,102981571.0,103068524,57000,6.5,2010.0,Jason Statham,Sylvester Stallone,Jet Li
The Hunger Games,407999255.0,408010692,140000,7.3,2012.0,Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds
The Hangover Part II,254455986.0,254464305,56000,6.5,2011.0,Bradley Cooper,Mason Lee,Mike Tyson
Alvin and the Chipmunks: Chipwrecked,133103929.0,133110742,0,4.4,2011.0,Amy Poehler,Jesse McCartney,Lauren Gottlieb
