"","X.2","X.1","X","year_of_birth","height","weight","scars","colour","year_of_discovery","number_of_lost_teeth","life_length","Life"
"60",60,60,60,"1574 BC",48.91,13.37,2,"red",1703,29,1228,"P.N.E."
"61",61,61,61,"1476",36.78,10.67,11,"red",1703,12,1188,"N.E."
"62",62,62,62,"1641 BC",47.74,13.51,18,"blue",1703,3,1384,"P.N.E."
"63",63,63,63,"557",36.84,10.82,2,"green",1703,11,787,"N.E."
"64",64,64,64,"193 BC",42.54,13.1,6,"green",1703,17,1197,"P.N.E."
"65",65,65,65,"1161 BC",45.66,13.25,5,"green",1703,14,1101,"P.N.E."
"66",66,66,66,"201 BC",47.3,14.12,34,"red",1703,28,2526,"P.N.E."
"67",67,67,67,"588",46.65,13.67,0,"blue",1703,13,750,"N.E."
"68",68,68,68,"281 BC",45.27,13.16,5,"blue",1703,33,1450,"P.N.E."
"69",69,69,69,"945 BC",46.57,13.24,9,"green",1703,35,1664,"P.N.E."
"70",70,70,70,"1275 BC",36.46,11.45,4,"red",1703,23,1217,"P.N.E."
"71",71,71,71,"1790 BC",46.98,13.56,2,"blue",1703,15,950,"P.N.E."
"72",72,72,72,"1442 BC",47.08,13.39,0,"red",1704,39,1406,"P.N.E."
"73",73,73,73,"835 BC",45.85,12.88,19,"green",1704,13,1626,"P.N.E."
"74",74,74,74,"69",53.13,14.65,4,"red",1704,25,1285,"N.E."
"75",75,75,75,"237",49.86,14.84,22,"green",1704,37,2226,"N.E."
"76",76,76,76,"1779 BC",53.51,17.03,9,"red",1704,5,1073,"P.N.E."
"77",77,77,77,"427",43.15,11.89,8,"red",1704,25,1423,"N.E."
"78",78,78,78,"1481",51.7,14.45,19,"blue",1704,37,1985,"N.E."
"79",79,79,79,"998 BC",38.42,11.26,6,"red",1704,30,1478,"P.N.E."
"80",80,80,80,"243 BC",47.47,14.85,11,"blue",1704,3,1104,"P.N.E."
"81",81,81,81,"1166",48.08,14.65,9,"blue",1704,3,919,"N.E."
"82",82,82,82,"626",49.87,14.33,3,"red",1704,36,1335,"N.E."
"83",83,83,83,"1900 BC",42.85,11.84,25,"green",1704,8,1783,"P.N.E."
"84",84,84,84,"115 BC",44.14,12.46,12,"red",1704,32,1695,"P.N.E."
"85",85,85,85,"377",52.29,14.98,0,"blue",1704,1,588,"N.E."
"86",86,86,86,"733 BC",46.93,15.32,0,"blue",1704,18,966,"P.N.E."
"87",87,87,87,"1118 BC",44.12,13.44,3,"red",1704,14,1018,"P.N.E."
"88",88,88,88,"472",50.31,14.07,11,"green",1704,38,1786,"N.E."
"89",89,89,89,"1635",37.03,10.2,2,"red",1704,7,820,"N.E."
"90",90,90,90,"1304",41.14,11.67,24,"green",1705,13,1686,"N.E."
"91",91,91,91,"1604 BC",46.96,12.98,13,"blue",1705,31,1741,"P.N.E."
"92",92,92,92,"1728 BC",48.64,16.97,0,"red",1705,17,928,"P.N.E."
"93",93,93,93,"824",42.23,11.91,1,"red",1705,3,632,"N.E."
"94",94,94,94,"1275 BC",45.32,12.86,5,"red",1705,27,1382,"P.N.E."
"95",95,95,95,"1707",49.77,14.24,2,"green",1705,1,676,"N.E."
"96",96,96,96,"1727",39.21,11.26,1,"blue",1705,15,961,"N.E."
"97",97,97,97,"1430 BC",41.78,13.56,20,"red",1705,7,1519,"P.N.E."
"98",98,98,98,"75",46.16,13.41,1,"green",1705,20,1025,"N.E."
"99",99,99,99,"1955 BC",39.24,11.01,40,"red",1705,14,2496,"P.N.E."
"100",100,100,100,"44 BC",51.96,15.17,5,"green",1705,12,1043,"P.N.E."
"101",101,101,101,"237",60.59,17.04,17,"green",1705,6,1400,"N.E."
"102",102,102,102,"1429",47.36,13.55,2,"blue",1705,39,1382,"N.E."
"103",103,103,103,"1146",38.87,11.01,17,"blue",1705,19,1557,"N.E."
"104",104,104,104,"478",53.89,16.07,1,"blue",1705,15,939,"N.E."
"105",105,105,105,"1215",41.32,12.15,53,"green",1705,8,2761,"N.E."
"106",106,106,106,"522 BC",47.19,14.92,20,"red",1705,11,1625,"P.N.E."
"107",107,107,107,"1406",45.28,14.24,7,"red",1705,31,1356,"N.E."
"108",108,108,108,"1272",55.43,16.65,34,"red",1706,13,2114,"N.E."
"109",109,109,109,"169 BC",40.3,11.71,10,"green",1706,8,1181,"P.N.E."
"110",110,110,110,"256 BC",46.23,13.67,8,"green",1706,14,1194,"P.N.E."
"111",111,111,111,"100 BC",50.42,16.69,3,"green",1706,39,1494,"P.N.E."
"112",112,112,112,"1988 BC",47.66,13.23,2,"blue",1706,15,988,"P.N.E."
"113",113,113,113,"911",48.68,14.33,3,"blue",1706,2,655,"N.E."
"114",114,114,114,"1183",38.25,11.57,4,"blue",1706,12,891,"N.E."
"115",115,115,115,"1105",38.78,11.31,13,"green",1706,32,1681,"N.E."
"116",116,116,116,"1764",50.82,14.1,3,"red",1706,8,887,"N.E."
"117",117,117,117,"1812 BC",48.09,13.65,7,"blue",1706,5,992,"P.N.E."
"118",118,118,118,"1725",43.2,11.86,1,"blue",1706,8,804,"N.E."
"119",119,119,119,"1256",38.74,11.59,5,"blue",1706,39,1499,"N.E."
"120",120,120,120,"944 BC",47.19,13.64,26,"blue",1706,26,2162,"P.N.E."
"121",121,121,121,"132",43.28,17.05,4,"red",1706,11,953,"N.E."
"122",122,122,122,"1732 BC",38.86,13.53,2,"red",1706,8,823,"P.N.E."
"123",123,123,123,"1433",41.66,11.61,16,"blue",1706,34,1790,"N.E."
"124",124,124,124,"330",44.79,12.49,23,"red",1706,23,1983,"N.E."
"125",125,125,125,"1549",44.51,13.67,5,"blue",1706,14,1093,"N.E."
"126",126,126,126,"400",51.48,15.61,7,"red",1706,16,1216,"N.E."
"127",127,127,127,"1418",37.56,11.04,11,"red",1706,13,1186,"N.E."
"128",128,128,128,"1704 BC",51.16,16.12,20,"blue",1706,22,1812,"P.N.E."
"129",129,129,129,"103 BC",40.26,13.9,7,"red",1707,12,1120,"P.N.E."
"130",130,130,130,"1483",49.09,13.77,4,"red",1707,11,890,"N.E."
"131",131,131,131,"1062",58.57,16.41,1,"green",1707,35,1273,"N.E."
"132",132,132,132,"281",41.58,11.56,5,"red",1707,28,1372,"N.E."
"133",133,133,133,"602",58.07,16.39,13,"green",1707,37,1742,"N.E."
"134",134,134,134,"1163",43.02,11.93,2,"red",1707,15,874,"N.E."
"135",135,135,135,"433 BC",42.4,12.39,1,"red",1707,38,1388,"P.N.E."
"136",136,136,136,"378",44.23,13.04,0,"red",1707,10,819,"N.E."
"137",137,137,137,"1351",45.36,13.36,15,"red",1707,33,1763,"N.E."
"138",138,138,138,"1028 BC",52.94,15.7,13,"green",1707,13,1379,"P.N.E."
"139",139,139,139,"1272 BC",48.21,13.88,3,"red",1707,39,1494,"P.N.E."
"140",140,140,140,"337 BC",49.66,14.32,0,"green",1707,35,1335,"P.N.E."
"141",141,141,141,"475 BC",47.66,15.02,11,"green",1707,25,1519,"P.N.E."
"142",142,142,142,"1933 BC",48.45,14.68,3,"red",1707,17,1051,"P.N.E."
"143",143,143,143,"235",31.15,10.89,1,"green",1707,28,1216,"N.E."
"144",144,144,144,"629",44.16,12.98,4,"red",1707,4,747,"N.E."
"145",145,145,145,"451 BC",42.58,13.27,36,"blue",1707,31,2645,"P.N.E."
"146",146,146,146,"1620",45.95,13.27,1,"red",1707,37,1390,"N.E."
"147",147,147,147,"11",39.95,11.78,3,"red",1707,11,936,"N.E."
"148",148,148,148,"1423",36.45,11.77,5,"red",1707,30,1282,"N.E."
"149",149,149,149,"155 BC",50.35,15.79,2,"blue",1707,29,1230,"P.N.E."
"150",150,150,150,"1666 BC",50.95,14.44,5,"red",1707,24,1244,"P.N.E."
"151",151,151,151,"1006",46.88,13.99,4,"blue",1708,18,1041,"N.E."
"152",152,152,152,"477 BC",53.87,15.43,15,"red",1708,33,1859,"P.N.E."
"153",153,153,153,"1663",47.54,13.84,2,"blue",1708,13,972,"N.E."
"154",154,154,154,"935",43.64,12.29,5,"blue",1708,15,1035,"N.E."
"155",155,155,155,"670 BC",42.76,12.83,15,"red",1708,6,1345,"P.N.E."
"156",156,156,156,"1987 BC",45.91,13.5,13,"red",1708,38,1877,"P.N.E."
"157",157,157,157,"681 BC",38.28,11.39,3,"green",1708,8,866,"P.N.E."
"158",158,158,158,"1331 BC",60.55,18.07,2,"red",1708,8,840,"P.N.E."
"159",159,159,159,"130 BC",54.95,15.96,3,"blue",1708,34,1387,"P.N.E."
"160",160,160,160,"1945 BC",47.33,12.94,8,"red",1708,11,1126,"P.N.E."
"161",161,161,161,"1114",44.57,12.21,10,"blue",1708,26,1409,"N.E."
"162",162,162,162,"1331 BC",48.21,13.4,4,"green",1708,10,975,"P.N.E."
"163",163,163,163,"983",38.74,11.61,9,"blue",1708,11,1066,"N.E."
"164",164,164,164,"746 BC",48.66,13.55,9,"red",1708,26,1478,"P.N.E."
"165",165,165,165,"1527",54.62,16.42,8,"red",1708,9,1099,"N.E."
"166",166,166,166,"464 BC",41.26,12.8,1,"red",1708,7,770,"P.N.E."
"167",167,167,167,"1774",47,13.12,1,"blue",1708,9,815,"N.E."
"168",168,168,168,"233 BC",48.3,13.58,3,"blue",1708,39,1472,"P.N.E."
"169",169,169,169,"66 BC",60.18,16.75,22,"blue",1708,17,1845,"P.N.E."
"170",170,170,170,"1286 BC",50.88,18.4,5,"red",1708,15,1114,"P.N.E."
"171",171,171,171,"617",48.51,14.26,13,"red",1708,27,1558,"N.E."
"172",172,172,172,"49",37.28,10.73,6,"blue",1708,16,1174,"N.E."
"173",173,173,173,"1493 BC",48.69,13.99,6,"blue",1708,26,1334,"P.N.E."
"174",174,174,174,"741 BC",45.61,12.48,2,"red",1708,14,979,"P.N.E."
"175",175,175,175,"495 BC",40.58,12.42,0,"green",1708,24,1093,"P.N.E."
"176",176,176,176,"1605 BC",53.39,18.31,5,"green",1708,22,1196,"P.N.E."
"177",177,177,177,"1544 BC",43.24,14.08,1,"green",1708,4,692,"P.N.E."
"178",178,178,178,"418 BC",40.79,12.99,9,"green",1708,6,1115,"P.N.E."
"179",179,179,179,"1760",40.82,12.4,5,"blue",1708,32,1420,"N.E."
"180",180,180,180,"801 BC",45.96,15.31,30,"blue",1708,13,2065,"P.N.E."
"181",181,181,181,"314 BC",40.39,11.44,7,"green",1708,37,1620,"P.N.E."
"182",182,182,182,"1217",51.02,15.15,26,"red",1708,0,1531,"N.E."
"183",183,183,183,"964 BC",41.08,11.4,5,"green",1709,2,838,"P.N.E."
"184",184,184,184,"152",58.66,16.43,1,"green",1709,20,997,"N.E."
"185",185,185,185,"944 BC",44.88,13.78,2,"red",1709,36,1394,"P.N.E."
"186",186,186,186,"744",45.34,12.91,4,"red",1709,5,782,"N.E."
"187",187,187,187,"1495 BC",44.51,12.48,2,"red",1709,19,1020,"P.N.E."
"188",188,188,188,"235 BC",43.22,12.27,5,"blue",1709,37,1526,"P.N.E."
"189",189,189,189,"1323",48.43,13.93,4,"red",1709,38,1424,"N.E."
"190",190,190,190,"101",47.77,13.07,1,"green",1709,14,943,"N.E."
"191",191,191,191,"670",51.22,14.97,7,"red",1709,18,1136,"N.E."
"192",192,192,192,"829 BC",44.81,12.68,10,"green",1709,30,1606,"P.N.E."
"193",193,193,193,"188 BC",38.02,11.66,5,"red",1709,16,1136,"P.N.E."
"194",194,194,194,"853 BC",48.9,13.54,5,"red",1709,28,1358,"P.N.E."
"195",195,195,195,"855 BC",40.23,11.08,1,"green",1709,23,1081,"P.N.E."
"196",196,196,196,"1531 BC",43.82,13.51,5,"red",1709,27,1342,"P.N.E."
"197",197,197,197,"1127",43.64,12.05,0,"green",1709,16,812,"N.E."
"198",198,198,198,"1965 BC",36.96,10.72,4,"blue",1709,14,1034,"P.N.E."
"199",199,199,199,"1549",42.39,12.49,14,"red",1709,17,1474,"N.E."
"200",200,200,200,"1992 BC",47.24,13.36,10,"red",1709,24,1504,"P.N.E."
"201",201,201,201,"1149",44.3,12.52,13,"red",1709,23,1495,"N.E."
"202",202,202,202,"1535",45.86,13.41,2,"red",1709,36,1442,"N.E."
"203",203,203,203,"1280 BC",40.46,11.49,2,"red",1709,7,817,"P.N.E."
"204",204,204,204,"838 BC",49.99,15.17,18,"green",1709,19,1682,"P.N.E."
"205",205,205,205,"415",42.84,11.85,5,"red",1709,32,1411,"N.E."
"206",206,206,206,"1391 BC",57.35,15.79,20,"red",1710,23,1875,"P.N.E."
"207",207,207,207,"1088 BC",47.7,13.37,15,"red",1710,2,1199,"P.N.E."
"208",208,208,208,"385 BC",40.68,11.32,7,"blue",1710,33,1535,"P.N.E."
"209",209,209,209,"1907 BC",56.44,16.1,3,"green",1710,20,1157,"P.N.E."
"210",210,210,210,"1753",51.16,14.2,1,"green",1710,9,826,"N.E."
"211",211,211,211,"2",50.02,14.49,3,"red",1710,38,1506,"N.E."
"212",212,212,212,"1103",46.77,13.11,47,"blue",1710,36,3105,"N.E."
"213",213,213,213,"897",47.24,13.88,6,"red",1710,15,1046,"N.E."
"214",214,214,214,"1144 BC",50.29,16.04,4,"red",1710,17,1110,"P.N.E."
"215",215,215,215,"659",41.94,11.77,0,"blue",1710,9,650,"N.E."
"216",216,216,216,"1718",42.36,11.97,9,"blue",1710,39,1728,"N.E."
"217",217,217,217,"1610",56.13,17.56,6,"red",1710,28,1397,"N.E."
"218",218,218,218,"1369 BC",58.96,16.72,5,"red",1710,34,1488,"P.N.E."
"219",219,219,219,"400 BC",52.49,14.53,3,"blue",1710,28,1281,"P.N.E."
"220",220,220,220,"467 BC",48.71,13.44,4,"blue",1710,21,1195,"P.N.E."
"221",221,221,221,"1091",42.28,11.89,6,"blue",1710,25,1245,"N.E."
"222",222,222,222,"1526",41.6,11.44,19,"red",1710,13,1614,"N.E."
"223",223,223,223,"1546 BC",42.52,11.81,3,"green",1710,7,872,"P.N.E."
"224",224,224,224,"1584",48.16,13.71,2,"red",1710,23,1151,"N.E."
"225",225,225,225,"1083 BC",48.47,14.71,2,"red",1711,19,1049,"P.N.E."
"226",226,226,226,"1655 BC",39.76,10.92,18,"red",1711,15,1632,"P.N.E."
"227",227,227,227,"360 BC",33.99,11.01,5,"red",1711,6,915,"P.N.E."
"228",228,228,228,"1745",42.97,13.27,1,"red",1711,0,683,"N.E."
"229",229,229,229,"1174 BC",46.3,13.68,14,"red",1711,14,1416,"P.N.E."
"230",230,230,230,"153 BC",56.56,15.75,17,"black",1711,39,2081,"P.N.E."
"231",231,231,231,"452",37.35,10.25,5,"red",1711,36,1505,"N.E."
"232",232,232,232,"1502",47.83,13.42,7,"red",1711,31,1514,"N.E."
"233",233,233,233,"613 BC",46.23,17.87,8,"blue",1711,24,1445,"P.N.E."
"234",234,234,234,"1446 BC",59.52,18.99,12,"red",1711,21,1532,"P.N.E."
"235",235,235,235,"1567 BC",46.31,15.2,26,"blue",1711,35,2360,"P.N.E."
"236",236,236,236,"1450 BC",49.92,13.84,15,"red",1711,5,1301,"P.N.E."
"237",237,237,237,"885",51.77,15.29,14,"red",1711,34,1732,"N.E."
"238",238,238,238,"1186 BC",40.52,11.12,18,"red",1711,8,1551,"P.N.E."
"239",239,239,239,"772 BC",33.04,9.73,4,"red",1711,30,1368,"P.N.E."
"240",240,240,240,"1542",36.22,10.2,2,"red",1711,29,1261,"N.E."
"241",241,241,241,"26 BC",39.06,12.2,4,"blue",1711,6,877,"P.N.E."
"242",242,242,242,"1510 BC",52.21,14.58,8,"green",1711,14,1220,"P.N.E."
"243",243,243,243,"1489",48.81,14,0,"red",1711,19,883,"N.E."
"244",244,244,244,"1791",43.24,12.07,11,"red",1711,33,1690,"N.E."
"245",245,245,245,"267",33.26,9.81,10,"green",1711,7,1156,"N.E."
"246",246,246,246,"1791 BC",49.35,14.26,4,"blue",1711,25,1279,"P.N.E."
"247",247,247,247,"1735",35.25,10.01,2,"blue",1711,1,715,"N.E."
"248",248,248,248,"669",48.74,13.63,10,"red",1711,24,1360,"N.E."
"249",249,249,249,"1148 BC",50.9,15.42,2,"blue",1711,28,1222,"P.N.E."
"250",250,250,250,"1169 BC",36.83,11.24,3,"red",1712,6,823,"P.N.E."
"251",251,251,251,"980",40.66,11.14,4,"red",1712,29,1250,"N.E."
"252",252,252,252,"298 BC",43.51,12.12,10,"red",1712,10,1211,"P.N.E."
"253",253,253,253,"104 BC",54.62,15.29,8,"green",1712,22,1355,"P.N.E."
"254",254,254,254,"570 BC",48.59,13.63,6,"blue",1712,18,1195,"P.N.E."
"255",255,255,255,"504 BC",55.25,15.44,1,"red",1712,2,710,"P.N.E."
"256",256,256,256,"741",46.79,14.16,8,"blue",1712,32,1465,"N.E."
"257",257,257,257,"1310 BC",38.59,10.75,11,"green",1712,16,1378,"P.N.E."
"258",258,258,258,"1371",49.33,14.92,4,"green",1712,29,1255,"N.E."
"259",259,259,259,"948 BC",52.93,14.69,14,"red",1712,15,1431,"P.N.E."
"260",260,260,260,"1625 BC",46.73,13.1,4,"red",1712,38,1472,"P.N.E."
"261",261,261,261,"928",44.05,13.24,4,"blue",1712,12,885,"N.E."
"262",262,262,262,"745",36.59,10.3,3,"red",1712,19,1013,"N.E."
"263",263,263,263,"1086",37.92,11.03,8,"blue",1712,35,1517,"N.E."
"264",264,264,264,"1784",36.12,10.16,29,"red",1712,4,1851,"N.E."
"265",265,265,265,"1498",49.51,14.68,4,"green",1712,5,795,"N.E."
"266",266,266,266,"652 BC",52.3,14.31,1,"blue",1712,30,1224,"P.N.E."
"267",267,267,267,"1390",31.42,9.17,16,"red",1712,22,1548,"N.E."
"268",268,268,268,"1895 BC",46.7,12.79,6,"blue",1713,29,1414,"P.N.E."
"269",269,269,269,"997 BC",52.89,15.15,6,"green",1713,18,1206,"P.N.E."
"270",270,270,270,"112",43.79,13.71,12,"red",1713,37,1826,"N.E."
"271",271,271,271,"387",36.25,10.3,3,"red",1713,30,1322,"N.E."
"272",272,272,272,"1200 BC",34.83,10.02,10,"red",1713,14,1294,"P.N.E."
"273",273,273,273,"1847 BC",43.12,11.94,0,"red",1713,9,799,"P.N.E."
"274",274,274,274,"715 BC",38.97,12.63,14,"blue",1713,9,1362,"P.N.E."
"275",275,275,275,"764 BC",57.09,16.53,10,"red",1713,26,1552,"P.N.E."
"276",276,276,276,"220",42.11,11.75,0,"blue",1713,31,1228,"N.E."
"277",277,277,277,"487 BC",52.02,14.95,15,"red",1713,25,1670,"P.N.E."
"278",278,278,278,"1158",47.06,13.34,9,"red",1713,25,1351,"N.E."
"279",279,279,279,"72",47.38,13.36,3,"red",1713,18,1050,"N.E."
"280",280,280,280,"1614",40.52,12.56,1,"red",1713,29,1228,"N.E."
"281",281,281,281,"510 BC",52.62,14.74,1,"blue",1713,37,1381,"P.N.E."
"282",282,282,282,"622 BC",43.27,12.74,3,"blue",1713,14,996,"P.N.E."
"283",283,283,283,"1276",49.65,13.59,3,"red",1713,12,853,"N.E."
"284",284,284,284,"1667",42.07,12.34,4,"green",1713,35,1475,"N.E."
"285",285,285,285,"274",48.93,14.62,1,"red",1714,6,744,"N.E."
"286",286,286,286,"899 BC",42.71,12.85,2,"red",1714,23,1118,"P.N.E."
"287",287,287,287,"1706 BC",44.84,12.75,13,"blue",1714,11,1320,"P.N.E."
"288",288,288,288,"380",43.77,14.88,5,"red",1714,16,1113,"N.E."
"289",289,289,289,"1560 BC",43.63,12.93,19,"red",1714,15,1647,"P.N.E."
"290",290,290,290,"657",47.21,13.36,5,"red",1714,2,754,"N.E."
"291",291,291,291,"1408",37.83,11.6,1,"blue",1714,5,634,"N.E."
"292",292,292,292,"1059 BC",41.48,12.69,1,"red",1714,3,740,"P.N.E."
"293",293,293,293,"872 BC",53.69,16.24,4,"red",1714,1,790,"P.N.E."
"294",294,294,294,"270",47.05,15.58,3,"red",1714,38,1459,"N.E."
"295",295,295,295,"1521",43.17,11.94,40,"green",1714,14,2470,"N.E."
"296",296,296,296,"906 BC",46.05,13.24,0,"red",1714,2,665,"P.N.E."
"297",297,297,297,"1977 BC",47.07,13.84,8,"red",1714,16,1220,"P.N.E."
"298",298,298,298,"177",52.11,14.3,1,"green",1714,30,1281,"N.E."
"299",299,299,299,"1357 BC",43.22,11.91,24,"red",1714,10,1759,"P.N.E."
"300",300,300,300,"803 BC",39.06,12.4,33,"red",1714,20,2338,"P.N.E."
"301",301,301,301,"320",46.92,15.05,7,"blue",1714,21,1309,"N.E."
"302",302,302,302,"84 BC",34.71,10.53,21,"blue",1714,2,1471,"P.N.E."
"303",303,303,303,"51",55.21,15.49,14,"red",1714,25,1623,"N.E."
"304",304,304,304,"1139",35.61,10.5,21,"green",1714,27,1858,"N.E."
"305",305,305,305,"1487 BC",49.38,14.56,5,"green",1714,20,1206,"P.N.E."
"306",306,306,306,"177",48.46,15.03,3,"red",1715,16,984,"N.E."
"307",307,307,307,"1604",40.66,12.42,1,"red",1715,27,1211,"N.E."
"308",308,308,308,"562",43.66,12.21,6,"red",1715,34,1426,"N.E."
"309",309,309,309,"275",37.73,10.55,7,"red",1715,37,1656,"N.E."
"310",310,310,310,"1800",34.36,9.62,4,"red",1715,21,1221,"N.E."
"311",311,311,311,"712 BC",41.31,11.62,1,"red",1715,38,1387,"P.N.E."
"312",312,312,312,"1845 BC",34.23,15.38,3,"red",1715,10,932,"P.N.E."
"313",313,313,313,"566",55.17,15.41,4,"blue",1715,30,1252,"N.E."
"314",314,314,314,"909",44.36,12.53,3,"blue",1715,24,1098,"N.E."
"315",315,315,315,"364 BC",41.11,12.67,2,"blue",1715,25,1187,"P.N.E."
"316",316,316,316,"1483",34.29,11.91,8,"green",1715,25,1338,"N.E."
"317",317,317,317,"561",41.2,11.77,1,"red",1715,38,1287,"N.E."
"318",318,318,318,"1156",50.91,14.03,5,"blue",1715,39,1478,"N.E."
"319",319,319,319,"365",47.09,12.97,19,"red",1715,34,2039,"N.E."
"320",320,320,320,"332 BC",65.71,18.33,3,"blue",1715,31,1351,"P.N.E."
"321",321,321,321,"1265",56.47,15.83,0,"red",1715,7,632,"N.E."
"322",322,322,322,"84",51.7,15.27,20,"red",1715,16,1737,"N.E."
"323",323,323,323,"838",60.01,17.21,28,"red",1715,29,2220,"N.E."
"324",324,324,324,"927 BC",51.15,14.7,26,"red",1716,2,1699,"P.N.E."
"325",325,325,325,"649",46.97,13.28,1,"green",1716,36,1281,"N.E."
"326",326,326,326,"807 BC",47.16,14.01,6,"blue",1716,12,1046,"P.N.E."
"327",327,327,327,"287",51.87,14.19,24,"blue",1716,26,2088,"N.E."
"328",328,328,328,"1179",43.47,12.25,12,"red",1716,40,1791,"N.E."
"329",329,329,329,"747 BC",35.88,12.51,6,"red",1716,30,1416,"P.N.E."
