name,description,styleUrl,longitude,latitude,altitude,LineString/tessellate,LineString/coordinates
Saffron Hill,"The Italian quarter, noted as the specialty of Inspector Hill.<br><br>The Adventure of the Six Napoleons, p198.",#icon-123,-0.107031,51.52068,0,,
Bayswater,"Lord Mount-James takes the Bayswater bus to visit Holmes upon hearing of Godfrey&#39;s disappearance.<br><br>The Adventure of the Missing Three-Quarter, p260.",#icon-123,-0.188398,51.512802,0,,
King's Cross station,"H&amp;W head to Cambridge from here in search of Godfrey Staunton.<br><br>The Adventure of the Missing Three-Quarter, p262.",#icon-61,-0.123553,51.530399,0,,
Gray's Inn Road,"Mentioned as part of the route to King&#39;s Cross station.<br><br>The Adventure of the Missing Three-Quarter, p262.",#icon-123,-0.113211,51.5206,0,,
Chislehurst rail station,"H&amp;W alight here on there way to Abbey Grange, which is described as two miles away.<br><br>The Adventure of the Abbey Grange, p276.",#icon-61,0.057249,51.405685,0,,
Sydenham,"The Randall gang &#39;did a job&#39; here a fortnight before the Abbey Grange murder. Later it is revealed that Mr Jack Crocker lives in Sydenham.<br><br>The Adventure of the Abbey Grange, p277, 292.",#icon-123,-0.056992,51.4264,0,,
Westminster,"Whitehall Terrace: Right Honourable Trelawney Hope, Secretary for European Affairs lives on this fictitious street or row, and has his papers taken from here.<br><br>16 Godolphin Street: fictitious home of the murdered Eduardo Lucas. Described as between the abbey and the river.<br><br>The Adventure of the Second Stain, p302, 308.",#icon-123,-0.127394,51.497175,0,,
Hammersmith,"1. Eduardo Lucas&#39; valet was out visiting a friend here at the time of Lucas&#39; murder.<br>2. The &#39;Hammersmith Wonder&#39; is the subject of a cutting in Holmes&#39; record book.<br><br>1. The Adventure of the Second Stain, p308.<br>2. The Adventure of the Sussex Vampire, p98.",#icon-123,-0.225563,51.493034,0,,
Richmond,"1. Possible sighting of the elusive cyclist.<br>2. Robert Ferguson played three-quarter for Richmond, throwing Watson into the crowd at the Old Deer Park,.<br><br>1. The Valley of Fear, p92.<br>2. The Adventure of the Sussex Vampire, p101.",#icon-123,-0.308819,51.460104,0,,
On the trail of Jonathan Small,"Vague route, which then leads on to a Lambeth pier.
<br>
<br>The Sign of Four, Chapter 8, page 86.",#line-0000FF-5000,,,,1,"-0.111022,51.483548,0
          -0.113425,51.485632,0
          -0.113854,51.486942,0
          -0.119004,51.486487,0
          -0.123768,51.48622,0
          -0.125399,51.4832,0
          -0.125731,51.483073,0
          -0.127029,51.483327,0
          -0.128961,51.482292,0
          -0.125699,51.483227,0
          -0.12557,51.487503,0
          -0.121365,51.492393,0
          -0.125012,51.492366,0"
East Ham,"Possible sighting of the elusive cyclist.<br><br>The Valley of Fear, p92.",#icon-123,0.054932,51.530319,0,,
Esher,"Nearest centre to Wisteria Lodge, described as two miles south. H&amp;W also visit The Bull in Esher.",#icon-123,-0.365982,51.369959,0,,
Oxshott Common,"Garcia&#39;s body was found on the common, a mile from his home.<br><br>The Adventure of Wisteria Lodge, p19.",#icon-123,-0.367012,51.345411,0,,
Spanish Embassy,"Eccles makes inquiries about Garcia at the Spanish Embassy, then at 1 Grosvenor Gardens.<br><br>The Adventure of Wisteria Lodge, p17.",#icon-61,-0.146255,51.496922,0,,
High Holborn,"Location of Marx and Co., clothing firm, who outfitted Garcia.<br><br>The Adventure of Wisteria Lodge, p26.",#icon-123,-0.112009,51.51777,0,,
British Museum,"Holmes spends time reading here while engaged in the Wisteria Lodge case.<br><br>The Adventure of Wisteria Lodge, p28.",#icon-123,-0.127158,51.518464,0,,
Croydon,"Cross Street: home of Miss Cushing who receives the box of ears.<br><br>The Adventure of the Cardboard Box, p46.",#icon-123,-0.098877,51.368351,0,,
Penge,"Former home of Miss Cushing, where three medical students lodged.<br><br>The Adventure of the Cardboard Box, p47.",#icon-123,-0.055275,51.416124,0,,
Wallington,"New Street: fictitious home of Sarah Cushing.<br><br>The Adventure of the Cardboard Box, p53.",#icon-123,-0.152435,51.363207,0,,
Shadwell,"Jim Browner makes his statement to Inspector Montgomery at Shadwell Police Station.<br><br>The Adventure of the Cardboard Box, p60.",#icon-123,-0.056992,51.510345,0,,
Millbank Penitentiary,"Holmes and Watson disembark near here after losing the trail of Jonathan Small
<br>
<br>The Sign of Four, Chapter 8, page 90.",#icon-61,-0.125999,51.49242,0,,
Great Orme Street,"and Howe Street. Fictitious location of Mr Warren&#39;s house, but identified as to the north-east of the British Library.  Could potentially correspond to Great Ormond Street.<br><br>The Adventure of the Red Circle, p74.",#icon-123,-0.127115,51.519839,0,,
Covent Garden Opera,"Holmes suggests a visit to see a Wagner second act.<br><br>The Adventure of the Red Circle, p87.",#icon-61,-0.122223,51.512622,0,,
Woolwich Arsenal,"Arthur Cadogan West is a clerk here. He also holds an account at the local branch of Capital and Counties Bank (incidentally, the same institution Holmes banks with), and had planned to attend the Woolwich Theatre. H&amp;W later visit the area.<br><br>The Adventure of the Bruce-Partington Plans, p91,92.",#icon-123,0.055275,51.487155,0,,
Aldgate Station,"The body of Arthur Cadogan West is found on tracks just outside the station.<br><br>The Adventure of the Bruce-Partington Plans, p91.",#icon-61,-0.075531,51.514084,0,,
"Capital and Counties Bank, Oxford Street","Real location of Holmes&#39; bank, The Capital and Counties Bank. (http://www.banking-history.co.uk/sherlock.html)<br><br>The Adventure of the Priory School, p135.",#icon-61,-0.135999,51.51586,0,,
13 Great George Street,"Surprisingly precise address of Adolph Meyer, one of Mycroft&#39;s list of foreign agents.<br><br>The Adventure of Bruce Partington Papers, p108.",#icon-61,-0.128853,51.501076,0,,
Campden Mansions,"Surprisingly precise address of Louis La Rothiere, one of Mycroft&#39;s list of foreign agents.<br><br>The Adventure of the Bruce-Partington Plans, p108.",#icon-61,-0.194471,51.508248,0,,
Gloucester Road,"Holmes had dinner at Goldini&#39;s Restaurant, before investigating the putative murder scene at Cauldfield Gardens.<br><br>The Adventure of the Bruce-Partington Plans, p109.",#icon-123,-0.183764,51.4995,0,,
Gloucester Road station,"Holmes begins his trackside investigation from here.<br><br>The Adventure of the Bruce-Partington Plans, p110.",#icon-61,-0.183077,51.49421,0,,
Daily Telegraph Offices,"Holmes heads here to place an advert in an attempt to capture the foreign agent Oberstein.<br><br>The Adventure of the Bruce-Partington Plans, p114.",#icon-61,-0.106832,51.514328,0,,
Great Peter Street post office,"Holmes dispatches a telegram concerning the Aurora boat. Location unknown.
<br>
<br>The Sign of Four, Chapter 8, page 90.",#icon-123,-0.128489,51.497015,0,,
Rotherhithe,"Holmes was working &#39;in an alley near the river&#39; when he apparently contracted a tropical disease.<br><br>The Adventure of the Dying Detective, p121.",#icon-123,-0.033817,51.501477,0,,
Simpson's Restaurant,"1. 100 Strand. Holmes suggests a meal here to Watson after a period of fasting.<br>2. Holmes and Watson meet for two meals here.<br><br>1. The Adventure of the Dying Detective, p136.<br>2. The Adventure of the Illustrious Client, p17,23.",#icon-61,-0.120678,51.510559,0,,
Houses of Parliament,"Passed by H&amp;W on their way to Brixton.<br><br>The Disappearance of Lady Frances Carfax, p150.",#icon-61,-0.124111,51.4995,0,,
Westminster Bridge,"Crossed by H&amp;W on their way to Brixton.<br><br>The Disappearance of Lady Frances Carfax, p150.",#icon-61,-0.120635,51.500675,0,,
Olympia,"Baron Von Herling speaks of a prize in four-in-hand here.<br><br>His Last Bow, p189.",#icon-61,-0.210671,51.496614,0,,
Duke of York Steps,"A little door is mentioned, through which the signal book is to pass. <br><br>His Last Bow, p191.",#icon-61,-0.131493,51.506031,0,,
Claridge's ,"1. Martha is asked to report to Holmes here tomorrow.<br>2. Hotel of J Neil Gibson.<br><br><br><br>1. His Last Bow.<br>2. The Problem of Thor Bridge, p135.",#icon-61,-0.147586,51.512776,0,,
Queen Anne Street,"A later home of Watson is located here.<br><br>The Adventure of the Illustrious Client, p12.",#icon-123,-0.14735,51.518023,0,,
Kingston,"Vernon Lodge - home of Baron Gruner.<br><br>The Adventure of the Illustrious Client, p16.",#icon-123,-0.289764,51.411841,0,,
Hurlingham,"Baron Gruner played polo here for a time.<br><br>The Adventure of the Illustrious Client, p16.",#icon-61,-0.200543,51.466227,0,,
Mordecai Smith's landing stage,"Where Holmes loses the scent of Jonathan Small. Location given as opposite Millbank Penetentiary.
<br>
<br>The Sign of Four, Chapter 8, page 90.",#icon-61,-0.122051,51.492366,0,,
Berkeley Square,"104 - residence of Miss Winter.<br><br>The Adventure of the Illustrious Client, p23.",#icon-123,-0.146127,51.50949,0,,
Cafe Royal,"Holmes is badly beaten outside this restaurant.<br><br>The Adventure of the Illustrious Client, p27.",#icon-61,-0.136878,51.509958,0,,
Glasshouse Street,"Holmes&#39; assailants escape along here.<br><br>The Adventure of the Illustrious Client, p27.",#icon-123,-0.135655,51.510345,0,,
The London Library,"St James Square. Watson studies Chinese Pottery here, on the advice of Holmes.<br><br>The Adventure of the Illustrious Client, p29.",#icon-123,-0.136514,51.507313,0,,
Half Moon Street,"369 - fictitious address of Watson, posing as Dr Hill Barton.<br><br>The Adventure of the Illustrious Client, p30.",#icon-123,-0.145376,51.506419,0,,
Throgmorton Street,"James Dodd is a stockbroker here.<br><br>The Adventure of the Blanched Soldier, p40.",#icon-123,-0.086625,51.514819,0,,
Minories,"Holmes tracks Count Sylvius to Straubenzee&#39;s workshop on Minories.<br><br>The Adventure of the Mazarin Stone, p65.",#icon-123,-0.075445,51.511173,0,,
Weald Station,"Mary Maberley tells Holmes that Three Gables is a short distance from the Weald station.<br><br>The Adventure of the Three Gables, p81.",#icon-61,-0.33474,51.591576,0,,
St James Street,"Langdale Pike belongs to a club on St James Street.<br><br>The Adventure of the Three Gables, p88.",#icon-123,-0.138359,51.505484,0,,
Old Jewry,"Location of Morison, Morison and Dodd, whose client Robert Ferguson is referred to Holmes in a case of vampirism. <br><br>The Adventure of the Sussex Vampire, p97.",#icon-123,-0.090616,51.514658,0,,
3 Pinchin Lane,"Ficticious address of Sherman&#39;s Animal House. In Lambeth near the river - exact location unknown.
<br>The Sign of Four, Chapter 6, page 69.",#icon-123,-0.12351,51.488999,0,,
Mincing Lane,"Robert Ferguson of Ferguson and Muirhead, Tea brokers, is based here.<br><br>The Adventure of the Sussex Vampire, p97.",#icon-123,-0.081625,51.510652,0,,
Edgware Road,"136 Little Ryder Street, fictitious home of Mr Nathan Garrideb.Described as &#39;one of the smaller offshoots from the Edgware Road, within a stone-cast of old Tyburn Tree&#39;. Edgware Road also features as the location of Holloway and Steele, house agent of Nathan Garrideb.<br><br>The Adventure of the Three Garridebs, p116.",#icon-123,-0.160611,51.51371,0,,
Sotheby's,"One of two locations (the other being rival auction house Christies) to which Nathan Garrideb would leave the house.<br><br>The Adventure of the Three Garridebs, p122.",#icon-61,-0.12027,51.511894,0,,
Christie's,"One of two places (the other being rival auction house Sotheby&#39;s) to which Nathan Garrideb would leave his flat.<br><br>The Adventure of the Three Garridebs, p122.",#icon-61,-0.137608,51.506425,0,,
Waterloo Road,"&#39;Killer&#39;Evans (aka John Garrideb) shot a man over cards in a club here.<br><br>The Adventure of the Three Garridebs, p127.",#icon-123,-0.108747,51.501263,0,,
Cox and Co. Charing Cross,"Number 16. Bank in whose vaults John H Watson keeps his memoirs of Sherlock Holmes.<br><br>The Problem of Thor Bridge, p133.",#icon-61,-0.127115,51.506579,0,,
Commercial Road,"Home of Dorak, Bohemian salesman who provides concoction for Prof Presbury.<br><br>The Adventure of the Creeping Man, p174",#icon-123,-0.04283,51.513016,0,,
Wimbledon,"Ronder caravan is on its way to Wimbledon when the lion attacks.<br><br>The Adventure of the Veiled Lodger, p206.",#icon-123,-0.206509,51.421209,0,,
St Pancras (area),"Holmes refers to &#39;the St Pancras case&#39;, in which a cap is found next to a dead policeman.<br><br>The Adventure of Shoscombe Old Place, p216.",#icon-123,-0.125785,51.531921,0,,
Curzon Street,"Sam Brewer, money lender, comes from here.<br><br>The Adventure of Shoscombe Old Place, p217.",#icon-123,-0.145655,51.50726,0,,
Criterion Bar,"Watson first hears of Sherlock Holmes from his friend Stamford.<br><br>A Study in Scarlet, Chapter 2, p25",#icon-61,-0.133982,51.509891,0,,
Westminster Stairs,"A fast police launch waits here to persue Jonathan Small.
<br>
<br>The Sign of Four, Chapter 9, p108.",#icon-61,-0.123811,51.500595,0,,
Lewisham,"1. The Randall gang, framed for the murder of Abbey Grange, come from here.<br>2. Home of Josiah Amberley, who kills his wife and her lover.<br><br>1. The Adventure of the Abbey Grange, p277.<br>2. The Adventure of the Retired Colourman, p234.",#icon-123,-0.01133,51.462671,0,,
Haymarket Theatre,"Where Amberley claims to have been on the night of the murder.<br><br>The Adventure of the Retired Colourman, p238.",#icon-61,-0.131578,51.508689,0,,
Blackheath Station,"Watson returns to central London via this station, where he sees a man dart into the adjacent carriage.<br><br>The Adventure of the Retired Colourman, p239.",#icon-61,0.00824,51.465665,0,,
Albert Hall,"Holmes suggests going to see Carina sing here. <br><br>The Adventure of the Retired Colourman, p240.",#icon-61,-0.177584,51.500889,0,,
Conan Doyle's first house in London,,#icon-111-nodesc,-0.12924,51.519719,0,,
2 Upper Wimpole Street,Conan Doyle&#39;s first practice.,#icon-111,-0.149378,51.520413,0,,
Tennison Road,Conan Doyle home.,#icon-111,-0.080509,51.394761,0,,
Jacobson's Yard,"Ficitcious boatyard opposite the Tower, where the Aurora is undergoing rudder repairs.
<br>
<br>The Sign of Four, Chapter 10, page 111.",#icon-123,-0.078235,51.504869,0,,
Plumstead Marshes,"1. Where Jonathan Small is apprehended.<br>2. Noted by Watson, who reminisces about the chase of the Andaman islander, as he travels out by train with Holmes to Yoxley.<br><br>1. The Sign of Four, Chapter 10, p111.<br>2. The Adventure of the Golden Pince-Nez, p237.",#icon-123,0.091152,51.505217,0,,
St Johns Wood,"Briony Lodge, Serpentine Avenue<br><br>Fictitious address of Irene Adler. Exact location in St John&#39;s Wood unknown.<br><br>The Adventure of A Scandal in Bohemia, page 29.",#icon-123,-0.169387,51.535205,0,,
Inner Temple,"Godfrey Norton has lodgings here.
<br>
<br>The Adventure of a Scandal in Bohemia, page 31",#icon-123,-0.109509,51.512989,0,,
Regent Street,"1. Gross and Hankey&#39;s: Oddly named jewellers somewhere on Regent Street, where Godfrey buys rings for his wedding to Irene Adler.<br>2. H&amp;W follow Mortimer and Baskerville along Regent Street.<br><br>1. The Adventure of a Scandal in Bohemia, p32.<br>2. The Hound of the Baskervilles, p57.",#icon-123,-0.137844,51.509891,0,,
St Monica's Edgware Road,"Ficticious church where Godfrey marries Irene with a disguised Holmes as Best Man.
<br>
<br>The Adventure of a Scandal in Bohemia, page 32.",#icon-123,-0.166683,51.518197,0,,
Charing Cross station,"1, Station from which Irene Adler departs for the continent on the 5.15.<br>2. Mr Melas&#39;s journey to Mr Latimer&#39;s house begins here.<br>3. Holmes describes losing a left canine in the waiting room here.<br>4. Stanley Hopkins returns here from Yoxley before consulting Holmes.<br>5. H&amp;W catch a cab here at the opening of the story. They later send a telegram form here.<br>6. A woman matching the description of Madame Fournaye was seen here, according to a telegram from Paris.<br>7. Scott Eccles sends a telegram to Holmes from Charing Cross.<br>8. Charing Cross Hotel: place of entrapment for the foreign agent Oberstein.<br>9. Watson sees a news placard announcing the attack on Holmes.<br>10. <br><br>1. The Adventure of a Scandal in Bohemia, p41.<br>2. The Greek Interpreter, p187.<br>3. The Adventure of the Empty House, p29.<br>4. The Adventure of the Golden Pince-Nez, p229.<br>5. The Adventure of the Abbey Grange, p275, 292.<br>6. The Adventure of the Second Stain, p315.<br>7. The Adventure of Wisteria Lodge, p12.<br>8. The Adve",#icon-61,-0.123124,51.507167,0,,
"7 Pope's Court, Fleet Street","Offices of the Redheaded League.<br><br>The Adventure of the Red-Headed League, p48.",#icon-123,-0.107975,51.514378,0,,
Saxe-Coburg Square,"Fictitious address of Jabez Wilson&#39;s pawnbrokers. Exact location uncertain, but close to a major N-W artery and Aldersgate.<br><br>The Adventure of the Red-Headed League, p49.",#icon-123,-0.09892,51.520634,0,,
"46 Audley Court , Kennington Park Gate","Fictitious address of constable who found the body of Enoch Drebber.<br><br>A Study in Scarlet, Chapter 4, page 64.",#icon-123,-0.106258,51.482986,0,,
17 King Edward Street,"Fake address of William Morris, actually a maker of artificial kneecaps.<br><br>The Adventure of the Red-Headed League, p56.",#icon-61,-0.098791,51.516234,0,,
St James Hall,"Music Hall visited by Holmes.<br><br>The Adventure of the Red-Headed League, p61.",#icon-61,-0.136524,51.509591,0,,
Watson's Home in Kensington,"Location uncertain; in &#39;The Adventure of the Engineer&#39;s Thumb&#39; Watson states that he lives not far from Paddington.<br><br>In The Adventure of the Empty House, a disguised Holmes describes himself as a neighbour living on Church Street.<br><br>The Adventure of the Red-Headed League, p62",#icon-123,-0.192604,51.502706,0,,
Tottenham Court Road,"1. Mrs Sutherland&#39;s father is a plumber here. Location unknown.<br>2. Commissionaire Peterson lives here.<br>3. Holmes recounts how he purchased a Stradivarius from a Jew brokers on TCR.<br>4. The landlord Mr Warren is a timekeeper at Morton and Waylight&#39;s on TCR.<br><br>1. The Adventure of a Case of Identity, p75.<br>2. The Adventure of the Blue Carbuncle, p166.<br>3. The Adventure of the Cardboard Box, p54.<br>4. The Adventure of the Red Circle, p73.",#icon-123,-0.132437,51.518918,0,,
Leadenhall Street,"Hosmer Angel is a cashier here.<br><br>The Adventure of a Case of Identity, p77.",#icon-123,-0.082119,51.513376,0,,
